Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
H RESIDENCES,50A Lorong H Telok Kurau  #02-03 ,1,51,Strata,680000,-,13333,1239,02-SEP-2019,Apartment,Freehold,2014,Resale,N.A,15,42,426049,East Region,Bedok
PARC ESTA,900 Sims Avenue  #08-06 ,1,39,Strata,765000,-,19615,1822,02-SEP-2019,Apartment,99 Yrs From 12/07/2018,Uncompleted,New Sale,HDB,14,40,408966,Central Region,Geylang
DALLA VALE,210 Springleaf Avenue ,1,288,Strata,1980000,-,6875,639,02-SEP-2019,Semi-Detached House,Freehold,2008,Resale,HDB,26,78,786325,North Region,Yishun
SPOTTISWOODE RESIDENCES,48 Spottiswoode Park Road  #07-09 ,1,55,Strata,1015000,-,18455,1714,02-SEP-2019,Condominium,Freehold,2013,Resale,N.A,02,08,088660,Central Region,Bukit Merah
THE ALPS RESIDENCES,113 Tampines Street 86  #04-38 ,1,87,Strata,1155000,-,13276,1233,02-SEP-2019,Condominium,99 Yrs From 03/08/2015,2019,New Sale,HDB,18,52,528536,East Region,Tampines
MELVILLE PARK,18 Simei Street 1  #11-01 ,1,135,Strata,955000,-,7074,657,02-SEP-2019,Condominium,99 Yrs From 01/09/1992,1996,Resale,N.A,18,52,529943,East Region,Tampines
PARC BOTANNIA,18 Fernvale Street  #11-33 ,1,91,Strata,1266820,-,13921,1293,02-SEP-2019,Condominium,99 Yrs From 28/12/2016,Uncompleted,New Sale,N.A,28,79,797394,North East Region,Sengkang
PARKVIEW APARTMENTS,5 Bukit Batok Street 25  #08-01 ,1,105,Strata,888000,-,8457,786,02-SEP-2019,Apartment,99 Yrs From 01/05/1994,1998,Resale,HDB,23,65,658880,West Region,Bukit Batok
ESPARINA RESIDENCES,127 Compassvale Bow  #04-34 ,1,77,Strata,918000,-,11922,1108,02-SEP-2019,Executive Condominium,99 Yrs From 02/06/2010,2013,Resale,HDB,19,54,544821,North East Region,Sengkang
DALLA VALE,208 Springleaf Avenue ,1,303,Strata,2000000,-,6601,613,02-SEP-2019,Semi-Detached House,Freehold,2008,Resale,N.A,26,78,786326,North Region,Yishun
THE RIVERINA,17 Riverina Crescent ,1,150,Land,1610000,-,10733,997,02-SEP-2019,Terrace House,99 Yrs From 26/06/1996,2000,Resale,HDB,18,51,518251,East Region,Pasir Ris
LUXUS HILLS,32 Seletar Green Walk ,1,150,Land,2900000,-,19333,1796,02-SEP-2019,Terrace House,999 Yrs From 01/01/1879,2011,Resale,N.A,28,80,805257,North East Region,Serangoon
HIGH PARK RESIDENCES,25 Fernvale Road  #14-18 ,1,132,Strata,1650000,-,12500,1161,02-SEP-2019,Apartment,99 Yrs From 05/11/2014,2019,Sub Sale,N.A,28,79,797639,North East Region,Sengkang
