Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
N.A.,18 Dalkeith Road ,1,927,Land,13500000,-,14560,1353,02-SEP-2019,Detached House,Freehold,Unknown,Resale,N.A,11,29,299636,Central Region,Novena
GLENDALE PARK,25 Hillview Avenue  #06-09 ,1,116,Strata,1575000,-,13578,1261,02-SEP-2019,Condominium,Freehold,2000,Resale,N.A,23,66,669558,West Region,Bukit Batok
RIVERFRONT RESIDENCES,55 Hougang Avenue 7  #09-73 ,1,103,Strata,1378000,-,13379,1243,02-SEP-2019,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,N.A,19,53,533820,North East Region,Hougang
RIVERFRONT RESIDENCES,49 Hougang Avenue 7  #08-46 ,1,81,Strata,1172000,-,14469,1344,02-SEP-2019,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,N.A,19,53,533817,North East Region,Hougang
BEDOK RIA,40 Bedok Ria Crescent ,1,165,Land,2500000,-,15161,1408,02-SEP-2019,Terrace House,Freehold,1991,Resale,N.A,16,48,489856,East Region,Bedok
THE FLORENCE RESIDENCES,81 Hougang Avenue 2  #11-08 ,1,67,Strata,1076000,-,16060,1492,02-SEP-2019,Apartment,99 Yrs From 24/12/2018,Uncompleted,New Sale,HDB,19,53,538859,North East Region,Hougang
PARC ESTA,904 Sims Avenue  #14-27 ,1,78,Strata,1345000,-,17244,1602,01-SEP-2019,Apartment,99 Yrs From 12/07/2018,Uncompleted,New Sale,N.A,14,40,408968,Central Region,Geylang
PIERMONT GRAND,42 Sumang Walk  #04-42 ,1,90,Strata,1039200,-,11547,1073,01-SEP-2019,Executive Condominium,99 Yrs From 04/06/2018,Uncompleted,New Sale,HDB,19,82,828626,North East Region,Punggol
PARC BOTANNIA,18 Fernvale Street  #15-31 ,1,62,Strata,945700,-,15253,1417,01-SEP-2019,Condominium,99 Yrs From 28/12/2016,Uncompleted,New Sale,HDB,28,79,797394,North East Region,Sengkang
PARC CLEMATIS,8D Jalan Lempeng  #10-44 ,1,68,Strata,1151000,-,16926,1573,01-SEP-2019,Apartment,99 Yrs From 08/08/2019,Uncompleted,New Sale,N.A,05,12,128826,West Region,Clementi
PARC CLEMATIS,8 Jalan Lempeng  #15-15 ,1,67,Strata,1174000,-,17522,1628,01-SEP-2019,Apartment,99 Yrs From 08/08/2019,Uncompleted,New Sale,N.A,05,12,128796,West Region,Clementi
AFFINITY AT SERANGOON,22 Serangoon North Avenue 1  #05-29 ,1,50,Strata,777000,-,15540,1444,01-SEP-2019,Apartment,99 Yrs From 18/05/2018,Uncompleted,New Sale,HDB,19,55,554338,North East Region,Serangoon
PARC CLEMATIS,8B Jalan Lempeng  #02-30 ,1,82,Strata,1392000,-,16976,1577,01-SEP-2019,Apartment,99 Yrs From 08/08/2019,Uncompleted,New Sale,N.A,05,12,128824,West Region,Clementi
AFFINITY AT SERANGOON,18 Serangoon North Avenue 1  #06-06 ,1,79,Strata,1304000,-,16506,1533,01-SEP-2019,Apartment,99 Yrs From 18/05/2018,Uncompleted,New Sale,HDB,19,55,554336,North East Region,Serangoon
PARC ESTA,906 Sims Avenue  #14-34 ,1,86,Strata,1590000,-,18488,1718,01-SEP-2019,Apartment,99 Yrs From 12/07/2018 ,Uncompleted,New Sale,HDB,14,40,408969,Central Region,Geylang
KENT RIDGE HILL RESIDENCES,66 South Buona Vista Road  #04-71 ,1,89,Strata,1728000,-,19416,1804,01-SEP-2019,Apartment,99 Yrs From 10/11/2018,Uncompleted,New Sale,HDB,05,11,118175,Central Region,Queenstown
PARC ESTA,914 Sims Avenue  #01-68 ,1,95,Strata,1601000,-,16853,1566,01-SEP-2019,Apartment,99 Yrs From 12/07/2018,Uncompleted,New Sale,HDB,14,40,408973,Central Region,Geylang
PARC CLEMATIS,8E Jalan Lempeng  #02-51 ,1,42,Strata,708000,-,16857,1566,01-SEP-2019,Apartment,99 Yrs From 08/08/2019,Uncompleted,New Sale,N.A,05,12,128827,West Region,Clementi
THE FLORENCE RESIDENCES,81 Hougang Avenue 2  #04-07 ,1,92,Strata,1375000,-,14946,1388,01-SEP-2019,Apartment,99 Yrs From 24/12/2018,Uncompleted,New Sale,N.A,19,53,538859,North East Region,Hougang
PARC CLEMATIS,8C Jalan Lempeng  #04-37 ,1,48,Strata,797000,-,16604,1543,01-SEP-2019,Apartment,99 Yrs From 08/08/2019,Uncompleted,New Sale,N.A,05,12,128825,West Region,Clementi
KENT RIDGE HILL RESIDENCES,50 South Buona Vista Road  #04-08 ,1,72,Strata,1410000,-,19583,1819,01-SEP-2019,Apartment,99 Yrs From 10/11/2018,Uncompleted,New Sale,N.A,05,11,118167,Central Region,Queenstown
PARC ESTA,914 Sims Avenue  #12-65 ,1,42,Strata,830000,-,19762,1836,01-SEP-2019,Apartment,99 Yrs From 12/07/2018 ,Uncompleted,New Sale,HDB,14,40,408973,Central Region,Geylang
PARC CLEMATIS,8E Jalan Lempeng  #02-52 ,1,42,Strata,705000,-,16786,1559,01-SEP-2019,Apartment,99 Yrs From 08/08/2019,Uncompleted,New Sale,HDB,05,12,128827,West Region,Clementi
MARGARET VILLE,20 Margaret Drive  #26-05 ,1,43,Strata,933646,-,21713,2017,01-SEP-2019,Apartment,99 Yrs From 13/03/2017,Uncompleted,New Sale,HDB,03,14,149312,Central Region,Queenstown
THE FLORENCE RESIDENCES,89 Hougang Avenue 2  #05-43 ,1,62,Strata,980000,-,15806,1468,01-SEP-2019,Apartment,99 Yrs From 24/12/2018,Uncompleted,New Sale,HDB,19,53,538863,North East Region,Hougang
TREASURE AT TAMPINES,17 Tampines Lane  #10-63 ,1,43,Strata,683000,-,15884,1476,01-SEP-2019,Condominium,99 Yrs From 29/11/2018,Uncompleted,New Sale,HDB,18,52,528477,East Region,Tampines
TREASURE AT TAMPINES,47 Tampines Lane  #08-161 ,1,63,Strata,919000,-,14587,1355,01-SEP-2019,Condominium,99 Yrs From 29/11/2018,Uncompleted,New Sale,HDB,18,52,528462,East Region,Tampines
PARC CLEMATIS,8B Jalan Lempeng  #09-31 ,1,64,Strata,1065000,-,16641,1546,01-SEP-2019,Apartment,99 Yrs From 08/08/2019,Uncompleted,New Sale,HDB,05,12,128824,West Region,Clementi
JADESCAPE,6 Shunfu Road  #18-25 ,1,132,Strata,2446000,-,18530,1722,01-SEP-2019,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575744,Central Region,Bishan
PARC ESTA,916 Sims Avenue  #10-72 ,1,96,Strata,1747000,-,18198,1691,01-SEP-2019,Apartment,99 Yrs From 12/07/2018,Uncompleted,New Sale,HDB,14,40,408974,Central Region,Geylang
TREASURE AT TAMPINES,47 Tampines Lane  #06-162 ,1,85,Strata,1130000,-,13294,1235,01-SEP-2019,Condominium,99 Yrs From 29/11/2018,Uncompleted,New Sale,N.A,18,52,528462,East Region,Tampines
PARC ESTA,904 Sims Avenue  #10-25 ,1,59,Strata,1071000,-,18153,1686,01-SEP-2019,Apartment,99 Yrs From 12/07/2018,Uncompleted,New Sale,N.A,14,40,408968,Central Region,Geylang
MARGARET VILLE,20 Margaret Drive  #38-07 ,1,90,Strata,1852004,-,20578,1912,01-SEP-2019,Apartment,99 Yrs From 13/03/2017,Uncompleted,New Sale,HDB,03,14,149312,Central Region,Queenstown
PARK COLONIAL,4 Woodleigh Lane  #06-14 ,1,91,Strata,1792000,-,19692,1829,01-SEP-2019,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357686,Central Region,Toa Payoh
PARC CLEMATIS,8E Jalan Lempeng  #03-55 ,1,64,Strata,1092000,-,17063,1585,01-SEP-2019,Apartment,99 Yrs From 08/08/2019,Uncompleted,New Sale,N.A,05,12,128827,West Region,Clementi
MARGARET VILLE,20 Margaret Drive  #29-05 ,1,43,Strata,955206,-,22214,2064,01-SEP-2019,Apartment,99 Yrs From 13/03/2017,Uncompleted,New Sale,N.A,03,14,149312,Central Region,Queenstown
PARC CLEMATIS,8A Jalan Lempeng  #15-18 ,1,66,Strata,1181000,-,17894,1662,01-SEP-2019,Apartment,99 Yrs From 08/08/2019,Uncompleted,New Sale,N.A,05,12,128823,West Region,Clementi
STIRLING RESIDENCES,25 Stirling Road  #14-29 ,1,61,Strata,1160000,-,19016,1767,01-SEP-2019,Apartment,99 Yrs From 18/08/2017,Uncompleted,New Sale,N.A,03,14,148962,Central Region,Queenstown
PARC CLEMATIS,8C Jalan Lempeng  #22-36 ,1,42,Strata,759000,-,18071,1679,01-SEP-2019,Apartment,99 Yrs From 08/08/2019,Uncompleted,New Sale,HDB,05,12,128825,West Region,Clementi
PARC CLEMATIS,8E Jalan Lempeng  #15-52 ,1,42,Strata,746000,-,17762,1650,01-SEP-2019,Apartment,99 Yrs From 08/08/2019,Uncompleted,New Sale,HDB,05,12,128827,West Region,Clementi
PARC CLEMATIS,8F Jalan Lempeng  #07-64 ,1,69,Strata,1195000,-,17319,1609,01-SEP-2019,Apartment,99 Yrs From 08/08/2019,Uncompleted,New Sale,HDB,05,12,126740,West Region,Clementi
STIRLING RESIDENCES,25 Stirling Road  #35-30 ,1,82,Strata,1655000,-,20183,1875,01-SEP-2019,Apartment,99 Yrs From 18/08/2017,Uncompleted,New Sale,N.A,03,14,148962,Central Region,Queenstown
THE FLORENCE RESIDENCES,83 Hougang Avenue 2  #03-18 ,1,45,Strata,712000,-,15822,1470,01-SEP-2019,Apartment,99 Yrs From 24/12/2018,Uncompleted,New Sale,N.A,19,53,538860,North East Region,Hougang
PARC CLEMATIS,8 Jalan Lempeng  #06-14 ,1,67,Strata,1131000,-,16881,1568,01-SEP-2019,Apartment,99 Yrs From 08/08/2019,Uncompleted,New Sale,HDB,05,12,128796,West Region,Clementi
AFFINITY AT SERANGOON,24 Serangoon North Avenue 1  #03-40 ,1,50,Strata,779000,-,15580,1447,01-SEP-2019,Apartment,99 Yrs From 18/05/2018,Uncompleted,New Sale,HDB,19,55,554339,North East Region,Serangoon
PARC CLEMATIS,8D Jalan Lempeng  #22-44 ,1,68,Strata,1187000,-,17456,1622,01-SEP-2019,Apartment,99 Yrs From 08/08/2019,Uncompleted,New Sale,N.A,05,12,128826,West Region,Clementi
TREASURE AT TAMPINES,39 Tampines Lane  #04-125 ,1,43,Strata,653000,-,15186,1411,01-SEP-2019,Condominium,99 Yrs From 29/11/2018,Uncompleted,New Sale,N.A,18,52,528466,East Region,Tampines
RIVERFRONT RESIDENCES,57 Hougang Avenue 7  #04-86 ,1,103,Strata,1315000,-,12767,1186,01-SEP-2019,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,N.A,19,53,533821,North East Region,Hougang
PARC ESTA,908 Sims Avenue  #15-43 ,1,86,Strata,1555000,-,18081,1680,01-SEP-2019,Apartment,99 Yrs From 12/07/2018 ,Uncompleted,New Sale,HDB,14,40,408970,Central Region,Geylang
PARC CLEMATIS,8E Jalan Lempeng  #16-57 ,1,97,Strata,1734000,-,17876,1661,01-SEP-2019,Apartment,99 Yrs From 08/08/2019,Uncompleted,New Sale,HDB,05,12,128827,West Region,Clementi
PIERMONT GRAND,30 Sumang Walk  #07-19 ,1,124,Strata,1472800,-,11877,1103,01-SEP-2019,Executive Condominium,99 Yrs From 04/06/2018,Uncompleted,New Sale,HDB,19,82,828620,North East Region,Punggol
PARC CLEMATIS,18 Jalan Lempeng ,1,356,Strata,4003888,-,11247,1045,01-SEP-2019,Detached House,99 Yrs From 08/08/2019,Uncompleted,New Sale,N.A,05,12,128801,West Region,Clementi
MARGARET VILLE,20 Margaret Drive  #26-02 ,1,49,Strata,1052422,-,21478,1995,01-SEP-2019,Apartment,99 Yrs From 13/03/2017,Uncompleted,New Sale,N.A,03,14,149312,Central Region,Queenstown
MARGARET VILLE,20 Margaret Drive  #31-03 ,1,85,Strata,1653946,-,19458,1808,01-SEP-2019,Apartment,99 Yrs From 13/03/2017,Uncompleted,New Sale,N.A,03,14,149312,Central Region,Queenstown
MARGARET VILLE,20 Margaret Drive  #37-07 ,1,90,Strata,1838872,-,20432,1898,01-SEP-2019,Apartment,99 Yrs From 13/03/2017,Uncompleted,New Sale,N.A,03,14,149312,Central Region,Queenstown
TREASURE AT TAMPINES,47 Tampines Lane  #09-162 ,1,85,Strata,1152000,-,13553,1259,01-SEP-2019,Condominium,99 Yrs From 29/11/2018,Uncompleted,New Sale,HDB,18,52,528462,East Region,Tampines
MARGARET VILLE,20 Margaret Drive  #27-02 ,1,49,Strata,1056832,-,21568,2004,01-SEP-2019,Apartment,99 Yrs From 13/03/2017,Uncompleted,New Sale,N.A,03,14,149312,Central Region,Queenstown
RIVERFRONT RESIDENCES,43 Hougang Avenue 7  #05-18 ,1,85,Strata,1168000,-,13741,1277,01-SEP-2019,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,N.A,19,53,533814,North East Region,Hougang
MARGARET VILLE,20 Margaret Drive  #34-07 ,1,90,Strata,1824172,-,20269,1883,01-SEP-2019,Apartment,99 Yrs From 13/03/2017,Uncompleted,New Sale,N.A,03,14,149312,Central Region,Queenstown
PARC ESTA,906 Sims Avenue  #11-34 ,1,86,Strata,1575000,-,18314,1701,01-SEP-2019,Apartment,99 Yrs From 12/07/2018,Uncompleted,New Sale,N.A,14,40,408969,Central Region,Geylang
TREASURE AT TAMPINES,7 Tampines Lane  #10-29 ,1,55,Strata,828000,-,15055,1399,01-SEP-2019,Condominium,99 Yrs From 29/11/2018,Uncompleted,New Sale,N.A,18,52,528487,East Region,Tampines
ONE PEARL BANK,1 Pearl Bank  #06-03 ,1,40,Strata,1016000,-,25400,2360,01-SEP-2019,Apartment,99 Yrs From 01/03/2019,Uncompleted,New Sale,N.A,03,16,169016,Central Region,Outram
PIERMONT GRAND,42 Sumang Walk  #08-45 ,1,90,Strata,1015200,-,11280,1048,01-SEP-2019,Executive Condominium,99 Yrs From 04/06/2018,Uncompleted,New Sale,N.A,19,82,828626,North East Region,Punggol
PIERMONT GRAND,42 Sumang Walk  #11-45 ,1,90,Strata,1024000,-,11378,1057,01-SEP-2019,Executive Condominium,99 Yrs From 04/06/2018,Uncompleted,New Sale,HDB,19,82,828626,North East Region,Punggol
TREASURE AT TAMPINES,25 Tampines Lane  #12-85 ,1,101,Strata,1459000,-,14446,1342,01-SEP-2019,Condominium,99 Yrs From 29/11/2018,Uncompleted,New Sale,N.A,18,52,528473,East Region,Tampines
PARC CLEMATIS,8F Jalan Lempeng  #23-62 ,1,100,Strata,1785000,-,17850,1658,31-AUG-2019,Apartment,99 Yrs From 08/08/2019,Uncompleted,New Sale,N.A,05,12,126740,West Region,Clementi
TREASURE AT TAMPINES,43 Tampines Lane  #07-140 ,1,63,Strata,911000,-,14460,1343,31-AUG-2019,Condominium,99 Yrs From 29/11/2018,Uncompleted,New Sale,HDB,18,52,528464,East Region,Tampines
PARC CLEMATIS,8C Jalan Lempeng  #15-35 ,1,42,Strata,735000,-,17500,1626,31-AUG-2019,Apartment,99 Yrs From 08/08/2019,Uncompleted,New Sale,N.A,05,12,128825,West Region,Clementi
PIERMONT GRAND,22 Sumang Walk  #03-04 ,1,105,Strata,1175100,-,11191,1040,31-AUG-2019,Executive Condominium,99 Yrs From 04/06/2018,Uncompleted,New Sale,HDB,19,82,828677,North East Region,Punggol
PARC CLEMATIS,8C Jalan Lempeng  #02-34 ,1,80,Strata,1344000,-,16800,1561,31-AUG-2019,Apartment,99 Yrs From 08/08/2019,Uncompleted,New Sale,N.A,05,12,128825,West Region,Clementi
PARC CLEMATIS,8C Jalan Lempeng  #23-34 ,1,80,Strata,1407000,-,17588,1634,31-AUG-2019,Apartment,99 Yrs From 08/08/2019,Uncompleted,New Sale,N.A,05,12,128825,West Region,Clementi
PARC CLEMATIS,8B Jalan Lempeng  #12-32 ,1,64,Strata,1069000,-,16703,1552,31-AUG-2019,Apartment,99 Yrs From 08/08/2019,Uncompleted,New Sale,HDB,05,12,128824,West Region,Clementi
PARC CLEMATIS,8B Jalan Lempeng  #11-33 ,1,77,Strata,1353000,-,17571,1632,31-AUG-2019,Apartment,99 Yrs From 08/08/2019,Uncompleted,New Sale,N.A,05,12,128824,West Region,Clementi
PARC CLEMATIS,8 Jalan Lempeng  #08-13 ,1,84,Strata,1429000,-,17012,1580,31-AUG-2019,Apartment,99 Yrs From 08/08/2019,Uncompleted,New Sale,HDB,05,12,128796,West Region,Clementi
PARC CLEMATIS,8F Jalan Lempeng  #23-58 ,1,85,Strata,1456000,-,17129,1591,31-AUG-2019,Apartment,99 Yrs From 08/08/2019,Uncompleted,New Sale,N.A,05,12,126740,West Region,Clementi
PARC CLEMATIS,8C Jalan Lempeng  #13-36 ,1,42,Strata,732000,-,17429,1619,31-AUG-2019,Apartment,99 Yrs From 08/08/2019,Uncompleted,New Sale,HDB,05,12,128825,West Region,Clementi
PARC CLEMATIS,8F Jalan Lempeng  #21-64 ,1,69,Strata,1239000,-,17957,1668,31-AUG-2019,Apartment,99 Yrs From 08/08/2019,Uncompleted,New Sale,N.A,05,12,126740,West Region,Clementi
BIJOU,2 Jalan Mat Jambol  #02-28 ,1,59,Strata,1314797,1306026,22136,2056,31-AUG-2019,Apartment,Freehold,2018,New Sale,N.A,05,11,119554,Central Region,Queenstown
ROOTS @ TRANSIT,9 Transit Road  #03-06 ,1,41,Strata,540000,-,13171,1224,31-AUG-2019,Apartment,99 Yrs From 05/05/2014,2019,New Sale,HDB,26,77,778885,North Region,Yishun
PARC CLEMATIS,8 Jalan Lempeng  #04-09 ,1,85,Strata,1471000,-,17306,1608,31-AUG-2019,Apartment,99 Yrs From 08/08/2019,Uncompleted,New Sale,N.A,05,12,128796,West Region,Clementi
PARC CLEMATIS,8C Jalan Lempeng  #18-34 ,1,80,Strata,1392000,-,17400,1616,31-AUG-2019,Apartment,99 Yrs From 08/08/2019,Uncompleted,New Sale,HDB,05,12,128825,West Region,Clementi
PARC CLEMATIS,8E Jalan Lempeng  #08-52 ,1,42,Strata,721000,-,17167,1595,31-AUG-2019,Apartment,99 Yrs From 08/08/2019,Uncompleted,New Sale,N.A,05,12,128827,West Region,Clementi
PARC CLEMATIS,8E Jalan Lempeng  #12-57 ,1,97,Strata,1726000,-,17794,1653,31-AUG-2019,Apartment,99 Yrs From 08/08/2019,Uncompleted,New Sale,HDB,05,12,128827,West Region,Clementi
PARC CLEMATIS,8A Jalan Lempeng  #05-18 ,1,66,Strata,1152000,-,17455,1622,31-AUG-2019,Apartment,99 Yrs From 08/08/2019,Uncompleted,New Sale,HDB,05,12,128823,West Region,Clementi
PARC CLEMATIS,8C Jalan Lempeng  #11-36 ,1,42,Strata,726000,-,17286,1606,31-AUG-2019,Apartment,99 Yrs From 08/08/2019,Uncompleted,New Sale,HDB,05,12,128825,West Region,Clementi
PARC CLEMATIS,8A Jalan Lempeng  #18-18 ,1,66,Strata,1187000,-,17985,1671,31-AUG-2019,Apartment,99 Yrs From 08/08/2019,Uncompleted,New Sale,N.A,05,12,128823,West Region,Clementi
PARC CLEMATIS,8A Jalan Lempeng  #07-18 ,1,66,Strata,1162000,-,17606,1636,31-AUG-2019,Apartment,99 Yrs From 08/08/2019,Uncompleted,New Sale,HDB,05,12,128823,West Region,Clementi
PARC CLEMATIS,8F Jalan Lempeng  #18-58 ,1,85,Strata,1440000,-,16941,1574,31-AUG-2019,Apartment,99 Yrs From 08/08/2019,Uncompleted,New Sale,HDB,05,12,126740,West Region,Clementi
PARC CLEMATIS,8C Jalan Lempeng  #23-35 ,1,42,Strata,759000,-,18071,1679,31-AUG-2019,Apartment,99 Yrs From 08/08/2019,Uncompleted,New Sale,HDB,05,12,128825,West Region,Clementi
PARC CLEMATIS,8C Jalan Lempeng  #19-36 ,1,42,Strata,750000,-,17857,1659,31-AUG-2019,Apartment,99 Yrs From 08/08/2019,Uncompleted,New Sale,HDB,05,12,128825,West Region,Clementi
PARC CLEMATIS,8A Jalan Lempeng  #12-24 ,1,100,Strata,1726000,-,17260,1603,31-AUG-2019,Apartment,99 Yrs From 08/08/2019,Uncompleted,New Sale,HDB,05,12,128823,West Region,Clementi
PARC CLEMATIS,8C Jalan Lempeng  #12-35 ,1,42,Strata,726000,-,17286,1606,31-AUG-2019,Apartment,99 Yrs From 08/08/2019,Uncompleted,New Sale,HDB,05,12,128825,West Region,Clementi
PARC CLEMATIS,8F Jalan Lempeng  #18-65 ,1,120,Strata,2188000,-,18233,1694,31-AUG-2019,Apartment,99 Yrs From 08/08/2019,Uncompleted,New Sale,N.A,05,12,126740,West Region,Clementi
PARC CLEMATIS,8C Jalan Lempeng  #08-35 ,1,42,Strata,710000,-,16905,1570,31-AUG-2019,Apartment,99 Yrs From 08/08/2019,Uncompleted,New Sale,HDB,05,12,128825,West Region,Clementi
SKY EVERTON,50 Everton Road  #35-05 ,1,61,Strata,1882000,-,30852,2866,31-AUG-2019,Apartment,Freehold,Uncompleted,New Sale,N.A,02,08,089396,Central Region,Bukit Merah
PARC CLEMATIS,8C Jalan Lempeng  #08-36 ,1,42,Strata,713000,-,16976,1577,31-AUG-2019,Apartment,99 Yrs From 08/08/2019,Uncompleted,New Sale,HDB,05,12,128825,West Region,Clementi
PARC ESTA,906 Sims Avenue  #09-31 ,1,104,Strata,1801000,-,17317,1609,31-AUG-2019,Apartment,99 Yrs From 12/07/2018,Uncompleted,New Sale,N.A,14,40,408969,Central Region,Geylang
PARC CLEMATIS,8C Jalan Lempeng  #02-37 ,1,48,Strata,793000,-,16521,1535,31-AUG-2019,Apartment,99 Yrs From 08/08/2019,Uncompleted,New Sale,HDB,05,12,128825,West Region,Clementi
PARC CLEMATIS,8A Jalan Lempeng  #10-19 ,1,69,Strata,1226000,-,17768,1651,31-AUG-2019,Apartment,99 Yrs From 08/08/2019,Uncompleted,New Sale,HDB,05,12,128823,West Region,Clementi
PARC BOTANNIA,12 Fernvale Street  #18-16 ,1,81,Strata,1190700,-,14700,1366,31-AUG-2019,Condominium,99 Yrs From 28/12/2016,Uncompleted,New Sale,HDB,28,79,797391,North East Region,Sengkang
PARC CLEMATIS,8B Jalan Lempeng  #10-27 ,1,42,Strata,726000,-,17286,1606,31-AUG-2019,Apartment,99 Yrs From 08/08/2019,Uncompleted,New Sale,N.A,05,12,128824,West Region,Clementi
PIERMONT GRAND,42 Sumang Walk  #03-42 ,1,90,Strata,1036000,-,11511,1069,31-AUG-2019,Executive Condominium,99 Yrs From 04/06/2018,Uncompleted,New Sale,HDB,19,82,828626,North East Region,Punggol
PARC CLEMATIS,8D Jalan Lempeng  #02-44 ,1,68,Strata,1116000,-,16412,1525,31-AUG-2019,Apartment,99 Yrs From 08/08/2019,Uncompleted,New Sale,N.A,05,12,128826,West Region,Clementi
PARC CLEMATIS,8 Jalan Lempeng  #16-09 ,1,85,Strata,1510000,-,17765,1650,31-AUG-2019,Apartment,99 Yrs From 08/08/2019,Uncompleted,New Sale,N.A,05,12,128796,West Region,Clementi
PARC CLEMATIS,8C Jalan Lempeng  #18-35 ,1,42,Strata,744000,-,17714,1646,31-AUG-2019,Apartment,99 Yrs From 08/08/2019,Uncompleted,New Sale,HDB,05,12,128825,West Region,Clementi
PARC CLEMATIS,8E Jalan Lempeng  #14-53 ,1,80,Strata,1395000,-,17438,1620,31-AUG-2019,Apartment,99 Yrs From 08/08/2019,Uncompleted,New Sale,HDB,05,12,128827,West Region,Clementi
PARC CLEMATIS,8B Jalan Lempeng  #23-26 ,1,42,Strata,760000,-,18095,1681,31-AUG-2019,Apartment,99 Yrs From 08/08/2019,Uncompleted,New Sale,HDB,05,12,128824,West Region,Clementi
PARC CLEMATIS,8A Jalan Lempeng  #03-18 ,1,66,Strata,1142000,-,17303,1607,31-AUG-2019,Apartment,99 Yrs From 08/08/2019,Uncompleted,New Sale,N.A,05,12,128823,West Region,Clementi
PARC CLEMATIS,8B Jalan Lempeng  #17-26 ,1,42,Strata,742000,-,17667,1641,31-AUG-2019,Apartment,99 Yrs From 08/08/2019,Uncompleted,New Sale,N.A,05,12,128824,West Region,Clementi
PARC CLEMATIS,8C Jalan Lempeng  #09-36 ,1,42,Strata,720000,-,17143,1593,31-AUG-2019,Apartment,99 Yrs From 08/08/2019,Uncompleted,New Sale,HDB,05,12,128825,West Region,Clementi
PARC CLEMATIS,8C Jalan Lempeng  #03-36 ,1,42,Strata,700000,-,16667,1548,31-AUG-2019,Apartment,99 Yrs From 08/08/2019,Uncompleted,New Sale,N.A,05,12,128825,West Region,Clementi
