Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
GRANDEUR PARK RESIDENCES,7 Bedok South Avenue 3  #08-31 ,1,62,Strata,964000,-,15548,1444,01-JUL-2017,Condominium,99 Yrs From 25/05/2016,Uncompleted,New Sale,HDB,16,46,465464,East Region,Bedok
THE CLEMENT CANOPY,18 Clementi Avenue 1  #37-07 ,1,92,Strata,1385000,-,15054,1399,01-JUL-2017,Apartment,99 Yrs From 09/03/2016,Uncompleted,New Sale,HDB,05,12,129961,West Region,Clementi
THE PANORAMA,8 Ang Mo Kio Avenue 2  #18-03 ,1,145,Strata,2250000,-,15517,1442,01-JUL-2017,Condominium,99 Yrs From 08/04/2013,Uncompleted,New Sale,Private,20,56,567695,North East Region,Ang Mo Kio
GRANDEUR PARK RESIDENCES,5 Bedok South Avenue 3  #10-24 ,1,135,Strata,1983000,-,14689,1365,01-JUL-2017,Condominium,99 Yrs From 25/05/2016,Uncompleted,New Sale,Private,16,46,465463,East Region,Bedok
THE VISIONAIRE,174 Canberra Drive  #05-09 ,1,91,Strata,790000,-,8681,807,01-JUL-2017,Executive Condominium,99 Yrs From 09/01/2015,Uncompleted,New Sale,HDB,27,76,767949,North Region,Sembawang

