Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
FLORAVIEW,1 Ang Mo Kio Street 66  #04-09 ,1,99,Strata,1248700,-,12613,1172,09-JUN-2016,Apartment,Freehold,Uncompleted,New Sale,HDB,20,56,567705,North East Region,Ang Mo Kio
KINGSFORD WATERBAY,70 Upper Serangoon View  #14-35 ,1,44,Strata,590000,-,13409,1246,09-JUN-2016,Apartment,99 Yrs From 03/03/2014,Uncompleted,New Sale,HDB,19,53,533883,North East Region,Hougang
KINGSFORD WATERBAY,76 Upper Serangoon View  #07-56 ,1,103,Strata,1236750,-,12007,1116,09-JUN-2016,Apartment,99 Yrs From 03/03/2014,Uncompleted,New Sale,HDB,19,53,533880,North East Region,Hougang
ECO,261 Bedok South Avenue 3 ,1,331,Strata,3100000,-,9366,870,09-JUN-2016,Terrace House,99 Yrs From 14/05/2012,Uncompleted,New Sale,N.A,16,46,465484,East Region,Bedok
THE VALES,87 Anchorvale Crescent  #05-35 ,1,84,Strata,706875,-,8415,782,09-JUN-2016,Executive Condominium,99 Yrs From 19/05/2014,Uncompleted,New Sale,N.A,19,54,544628,North East Region,Sengkang
STUDIOS@TEMBELING,233 Tembeling Road  #03-06 ,1,73,Strata,1015000,-,13904,1292,09-JUN-2016,Apartment,Freehold,2012,Resale,HDB,15,42,423718,Central Region,Marine Parade
WESTWOOD RESIDENCES,182 Westwood Avenue  #03-08 ,1,107,Strata,948915,-,8868,824,09-JUN-2016,Executive Condominium,99 Yrs From 14/04/2014,Uncompleted,New Sale,HDB,22,64,648146,West Region,Jurong West
THE MEYERISE,97 Meyer Road  #28-08 ,1,118,Strata,2506000,-,21237,1973,09-JUN-2016,Condominium,Freehold,2014,Resale,HDB,15,43,437918,Central Region,Marine Parade
LA FIESTA,52 Sengkang Square  #06-08 ,1,83,Strata,1054800,-,12708,1181,09-JUN-2016,Condominium,99 Yrs From 03/09/2012,2016,New Sale,HDB,19,54,544831,North East Region,Sengkang
THE ESPARIS,9 Pasir Ris Drive 4  #04-15 ,1,120,Strata,910000,-,7583,705,09-JUN-2016,Executive Condominium,99 Yrs From 21/01/2002,2005,Resale,HDB,18,51,519462,East Region,Pasir Ris
CITY SQUARE RESIDENCES,6 Kitchener Link  #06-08 ,1,111,Strata,1650000,-,14865,1381,09-JUN-2016,Condominium,Freehold,2009,Resale,Private,08,20,207227,Central Region,Kallang
