Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
KINGSFORD WATERBAY,76 Upper Serangoon View  #11-61 ,1,45,Strata,595000,-,13222,1228,09-JUN-2016,Apartment,99 Yrs From 03/03/2014,Uncompleted,New Sale,HDB,19,53,533880,North East Region,Hougang
OUE TWIN PEAKS,33 Leonie Hill Road  #30-13 ,1,51,Strata,1596767,-,31309,2909,09-JUN-2016,Condominium,99 Yrs From 10/05/2010,2015,Resale,Private,09,23,239197,Central Region,River Valley
JEWEL @ BUANGKOK,91 Compassvale Bow  #03-38 ,1,126,Strata,1653750,-,13125,1219,09-JUN-2016,Condominium,99 Yrs From 12/09/2012,Uncompleted,New Sale,Private,19,54,544688,North East Region,Sengkang
TREVISTA,21 Lorong 3 Toa Payoh  #32-06 ,1,105,Strata,1650000,-,15714,1460,09-JUN-2016,Condominium,99 Yrs From 15/07/2008,2011,Resale,HDB,12,31,319581,Central Region,Toa Payoh
SYMPHONY SUITES,21 Yishun Close  #12-44 ,1,64,Strata,740800,-,11575,1075,09-JUN-2016,Condominium,99 Yrs From 10/06/2014,Uncompleted,New Sale,HDB,27,76,768014,North Region,Yishun
KINGSFORD WATERBAY,76 Upper Serangoon View  #15-54 ,1,44,Strata,577000,-,13114,1218,09-JUN-2016,Apartment,99 Yrs From 03/03/2014,Uncompleted,New Sale,HDB,19,53,533880,North East Region,Hougang
JEWEL @ BUANGKOK,91 Compassvale Bow  #16-38 ,1,236,Strata,2700000,-,11441,1063,09-JUN-2016,Condominium,99 Yrs From 12/09/2012,Uncompleted,New Sale,N.A,19,54,544688,North East Region,Sengkang
NOVENA SUITES,200 Moulmein Road  #10-02 ,1,88,Strata,1725000,-,19602,1821,09-JUN-2016,Apartment,Freehold,2004,Resale,Private,11,30,308107,Central Region,Novena
RIZ HAVEN,193 Jalan Loyang Besar  #04-02 ,1,81,Strata,750000,-,9259,860,09-JUN-2016,Apartment,946 Yrs From 01/01/1938,2010,Resale,Private,17,50,506928,East Region,Pasir Ris
KINGSFORD WATERBAY,76 Upper Serangoon View  #09-62 ,1,45,Strata,578000,-,12844,1193,09-JUN-2016,Apartment,99 Yrs From 03/03/2014,Uncompleted,New Sale,N.A,19,53,533880,North East Region,Hougang
SKY VUE,3 Bishan Street 15  #35-11 ,1,75,Strata,1332900,-,17772,1651,09-JUN-2016,Condominium,99 Yrs From 04/03/2013,Uncompleted,New Sale,HDB,20,57,573911,Central Region,Bishan
OPTIMA @ TANAH MERAH,86 Tanah Merah Kechil Avenue  #14-17 ,1,204,Strata,1710000,-,8382,779,09-JUN-2016,Condominium,99 Yrs From 09/12/2008,2012,Resale,Private,16,46,465517,East Region,Bedok
THE GLADES,20 Bedok Rise  #09-64 ,1,80,Strata,1164000,-,14550,1352,09-JUN-2016,Condominium,99 Yrs From 21/01/2013,Uncompleted,New Sale,N.A,16,46,465411,East Region,Bedok
SEASTRAND,7 Pasir Ris Link  #09-18 ,1,103,Strata,1100000,-,10680,992,09-JUN-2016,Condominium,99 Yrs From 03/01/2011,2014,Resale,Private,18,51,518188,East Region,Pasir Ris
THE LINEAR,888 Upper Bukit Timah Road  #04-17 ,1,128,Strata,1050000,-,8203,762,09-JUN-2016,Apartment,999 Yrs From 02/10/1876,2006,Resale,Private,23,67,678185,West Region,Bukit Panjang
LA FIESTA,52 Sengkang Square  #12-08 ,1,83,Strata,1067400,-,12860,1195,09-JUN-2016,Condominium,99 Yrs From 03/09/2012,2016,New Sale,Private,19,54,544831,North East Region,Sengkang
VUE 8 RESIDENCE,89 Pasir Ris Heights  #08-14 ,1,96,Strata,973000,-,10135,942,09-JUN-2016,Condominium,99 Yrs From 10/09/2012,Uncompleted,New Sale,Private,18,51,519286,East Region,Pasir Ris
KINGSFORD WATERBAY,72 Upper Serangoon View  #04-38 ,1,96,Strata,1170000,-,12188,1132,09-JUN-2016,Apartment,99 Yrs From 03/03/2014,Uncompleted,New Sale,HDB,19,53,533882,North East Region,Hougang
THE COSMOPOLITAN,202 Kim Seng Road  #09-05 ,1,106,Strata,2224950,-,20990,1950,09-JUN-2016,Condominium,Freehold,2008,Resale,Private,09,23,239496,Central Region,Singapore River
THE SPRINGSIDE,86 Springside View ,1,182,Land,2930000,-,16064,1492,09-JUN-2016,Terrace House,Freehold,2016,New Sale,Private,26,78,786131,North Region,Yishun
KINGSFORD . HILLVIEW PEAK,103 Hillview Rise  #02-12 ,1,51,Strata,722000,-,14157,1315,09-JUN-2016,Condominium,99 Yrs From 04/06/2012,Uncompleted,New Sale,HDB,23,66,667982,West Region,Bukit Batok
KINGSFORD WATERBAY,64 Upper Serangoon View  #04-04 ,1,58,Strata,695175,-,11986,1114,09-JUN-2016,Apartment,99 Yrs From 03/03/2014,Uncompleted,New Sale,HDB,19,53,533886,North East Region,Hougang
THE TRILINQ,28A Jalan Lempeng  #29-13 ,1,66,Strata,1047000,-,15864,1474,09-JUN-2016,Condominium,99 Yrs From 16/04/2012,Uncompleted,New Sale,N.A,05,12,128808,West Region,Clementi
VIIO @ BALESTIER,520 Balestier Road  #11-04 ,1,44,Strata,765000,-,17386,1615,09-JUN-2016,Apartment,Freehold,Uncompleted,New Sale,HDB,12,32,329853,Central Region,Novena
THE TERRACE,84 Edgedale Plains  #14-11 ,1,122,Strata,1067600,1057600,8669,805,09-JUN-2016,Executive Condominium,99 Yrs From 30/10/2013,Uncompleted,New Sale,N.A,19,82,828737,North East Region,Punggol
N.A.,36 Penaga Place ,1,223,Land,2200000,-,9879,918,09-JUN-2016,Terrace House,99 Yrs From 21/07/2008,2009,Resale,HDB,27,75,757340,North Region,Sembawang
KINGSFORD WATERBAY,74 Upper Serangoon View  #10-45 ,1,45,Strata,593000,-,13178,1224,09-JUN-2016,Apartment,99 Yrs From 03/03/2014,Uncompleted,New Sale,HDB,19,53,533881,North East Region,Hougang
MEDALLION,146A Braddell Road ,1,332,Strata,2180000,-,6566,610,09-JUN-2016,Detached House,Freehold,2009,Resale,HDB,13,35,359949,North East Region,Serangoon
THE GLADES,10 Bedok Rise  #03-32 ,1,54,Strata,810000,-,15000,1394,09-JUN-2016,Condominium,99 Yrs From 21/01/2013,Uncompleted,New Sale,N.A,16,46,469601,East Region,Bedok
LA FIESTA,54 Sengkang Square  #04-11 ,1,127,Strata,1550000,-,12205,1134,09-JUN-2016,Condominium,99 Yrs From 03/09/2012,2016,New Sale,Private,19,54,544832,North East Region,Sengkang
FERRARIA PARK CONDOMINIUM,26 Flora Drive  #07-47 ,1,128,Strata,1168000,-,9125,848,09-JUN-2016,Condominium,Freehold,2009,Resale,HDB,17,50,506950,East Region,Pasir Ris
SKYSUITES@ANSON,8 Enggor Street  #41-06 ,1,65,Strata,1566000,-,24092,2238,09-JUN-2016,Apartment,99 Yrs From 18/02/2008,2014,Resale,Private,02,07,079718,Central Region,Downtown Core
NINETEEN SHELFORD ROAD,19 Shelford Road  #03-11 ,1,61,Strata,920000,-,15082,1401,09-JUN-2016,Condominium,Freehold,1997,Resale,Private,11,28,288408,Central Region,Bukit Timah
THE MINTON,6B Hougang Street 11  #04-20 ,1,91,Strata,958000,-,10527,978,09-JUN-2016,Condominium,99 Yrs From 27/07/2007,2013,Resale,HDB,19,53,534083,North East Region,Hougang
KINGSFORD . HILLVIEW PEAK,103 Hillview Rise  #02-16 ,1,51,Strata,724000,-,14196,1319,09-JUN-2016,Condominium,99 Yrs From 04/06/2012,Uncompleted,New Sale,HDB,23,66,667982,West Region,Bukit Batok
KINGSFORD WATERBAY,80 Upper Serangoon View  #10-75 ,1,63,Strata,842000,-,13365,1242,09-JUN-2016,Apartment,99 Yrs From 03/03/2014,Uncompleted,New Sale,HDB,19,53,533878,North East Region,Hougang
VUE 8 RESIDENCE,83 Pasir Ris Heights  #05-03 ,1,97,Strata,995000,-,10258,953,09-JUN-2016,Condominium,99 Yrs From 10/09/2012,Uncompleted,New Sale,N.A,18,51,519283,East Region,Pasir Ris
THE TROPICA,51 Tampines Avenue 1  #01-01 ,1,146,Strata,1280000,-,8767,814,09-JUN-2016,Condominium,99 Yrs From 04/12/1996,2000,Resale,HDB,18,52,529771,East Region,Tampines
KINGSFORD . HILLVIEW PEAK,101 Hillview Rise  #16-03 ,1,77,Strata,1023000,-,13286,1234,09-JUN-2016,Condominium,99 Yrs From 04/06/2012,Uncompleted,New Sale,HDB,23,66,667981,West Region,Bukit Batok
KINGSFORD . HILLVIEW PEAK,105 Hillview Rise  #09-36 ,1,50,Strata,739999,-,14800,1375,09-JUN-2016,Condominium,99 Yrs From 04/06/2012,Uncompleted,New Sale,N.A,23,66,667968,West Region,Bukit Batok
SIGNATURE AT YISHUN,37 Yishun Street 51  #05-34 ,1,102,Strata,773000,-,7578,704,09-JUN-2016,Executive Condominium,99 Yrs From 25/08/2014,Uncompleted,New Sale,HDB,27,76,767993,North Region,Yishun
KINGSFORD . HILLVIEW PEAK,105 Hillview Rise  #08-37 ,1,79,Strata,1100000,-,13924,1294,09-JUN-2016,Condominium,99 Yrs From 04/06/2012,Uncompleted,New Sale,HDB,23,66,667968,West Region,Bukit Batok
WATERVIEW,89 Tampines Avenue 1  #01-34 ,1,96,Strata,945000,-,9844,915,09-JUN-2016,Condominium,99 Yrs From 16/06/2010,2014,Resale,HDB,18,52,528689,East Region,Tampines
VILLAS AT KEW,33 Kew Drive ,1,241,Land,2100000,-,8699,808,09-JUN-2016,Semi-Detached House,99 Yrs From 08/08/1994,1997,Resale,Private,16,46,466037,East Region,Bedok
OUE TWIN PEAKS,33 Leonie Hill Road  #19-14 ,1,51,Strata,1372500,-,26912,2500,09-JUN-2016,Condominium,99 Yrs From 10/05/2010,2015,Resale,Private,09,23,239197,Central Region,River Valley
KINGSFORD WATERBAY,66 Upper Serangoon View  #03-11 ,1,79,Strata,944000,-,11949,1110,09-JUN-2016,Apartment,99 Yrs From 03/03/2014,Uncompleted,New Sale,N.A,19,53,533885,North East Region,Hougang
ALLSWORTH PARK,369 Holland Road  #03-04 ,1,182,Strata,2520000,-,13846,1286,09-JUN-2016,Condominium,999 Yrs From 06/07/1885,1985,Resale,Private,10,27,278640,Central Region,Bukit Timah
SEA HORIZON,21 Pasir Ris Rise  #03-44 ,1,149,Strata,1260000,-,8456,786,09-JUN-2016,Executive Condominium,99 Yrs From 25/02/2013,Uncompleted,New Sale,HDB,18,51,518090,East Region,Pasir Ris
KINGSFORD WATERBAY,80 Upper Serangoon View  #16-78 ,1,78,Strata,802000,-,10282,955,09-JUN-2016,Apartment,99 Yrs From 03/03/2014,Uncompleted,New Sale,HDB,19,53,533878,North East Region,Hougang
KINGSFORD . HILLVIEW PEAK,105 Hillview Rise  #09-23 ,1,49,Strata,738000,-,15061,1399,09-JUN-2016,Condominium,99 Yrs From 04/06/2012,Uncompleted,New Sale,Private,23,66,667968,West Region,Bukit Batok
KINGSFORD . HILLVIEW PEAK,101 Hillview Rise  #19-01 ,1,72,Strata,1099000,-,15264,1418,09-JUN-2016,Condominium,99 Yrs From 04/06/2012,Uncompleted,New Sale,HDB,23,66,667981,West Region,Bukit Batok
VUE 8 RESIDENCE,87 Pasir Ris Heights  #09-10 ,1,96,Strata,1025000,-,10677,992,09-JUN-2016,Condominium,99 Yrs From 10/09/2012,Uncompleted,New Sale,Private,18,51,519285,East Region,Pasir Ris
KINGSFORD WATERBAY,76 Upper Serangoon View  #05-56 ,1,103,Strata,1266000,-,12291,1142,09-JUN-2016,Apartment,99 Yrs From 03/03/2014,Uncompleted,New Sale,Private,19,53,533880,North East Region,Hougang
SANCTUARY GREEN,185 Tanjong Rhu Road  #02-03 ,1,77,Strata,918000,-,11922,1108,09-JUN-2016,Condominium,99 Yrs From 17/03/1997,2003,Resale,HDB,15,43,436924,Central Region,Kallang
OASIS @ ELIAS,60 Elias Road  #10-03 ,1,112,Strata,1000000,-,8929,829,09-JUN-2016,Condominium,99 Yrs From 17/03/2008,2011,Resale,Private,18,51,519938,East Region,Pasir Ris
KINGSFORD WATERBAY,68 Upper Serangoon View  #04-21 ,1,63,Strata,790000,-,12540,1165,09-JUN-2016,Apartment,99 Yrs From 03/03/2014,Uncompleted,New Sale,N.A,19,53,533884,North East Region,Hougang
HILLTOP GROVE,134A Hillview Avenue  #07-04 ,1,115,Strata,960000,-,8348,776,09-JUN-2016,Condominium,99 Yrs From 12/06/1996,2001,Resale,Private,23,66,669620,West Region,Bukit Batok
EUPHONY GARDENS,13 Jalan Mata Ayer  #01-73 ,1,82,Strata,640000,-,7805,725,09-JUN-2016,Condominium,99 Yrs From 25/02/1998,2001,Resale,HDB,27,75,759155,North Region,Mandai
KINGSFORD WATERBAY,70 Upper Serangoon View  #03-32 ,1,63,Strata,795000,-,12619,1172,09-JUN-2016,Apartment,99 Yrs From 03/03/2014,Uncompleted,New Sale,HDB,19,53,533883,North East Region,Hougang
KINGSFORD . HILLVIEW PEAK,103 Hillview Rise  #02-11 ,1,51,Strata,720000,-,14118,1312,09-JUN-2016,Condominium,99 Yrs From 04/06/2012,Uncompleted,New Sale,Private,23,66,667982,West Region,Bukit Batok
THE POIZ RESIDENCES,12 Meyappa Chettiar Road  #17-43 ,1,39,Strata,655000,-,16795,1560,09-JUN-2016,Apartment,99 Yrs From 17/11/2014,Uncompleted,New Sale,N.A,13,35,358474,Central Region,Toa Payoh
D'BANYAN,83 Jalan Sendudok  #01-03 ,1,68,Strata,708000,-,10412,967,09-JUN-2016,Apartment,999 Yrs From 26/03/1885,2005,Resale,HDB,27,76,769468,North Region,Sembawang
OUE TWIN PEAKS,33 Leonie Hill Road  #17-12 ,1,130,Strata,3600000,-,27692,2573,09-JUN-2016,Condominium,99 Yrs From 10/05/2010,2015,Resale,Private,09,23,239197,Central Region,River Valley
PARC VISTA,456 Corporation Road  #05-08 ,1,98,Strata,860000,-,8776,815,09-JUN-2016,Condominium,99 Yrs From 01/03/1995,1997,Resale,HDB,22,64,649813,West Region,Jurong West
OUE TWIN PEAKS,33 Leonie Hill Road  #26-09 ,1,149,Strata,4250000,-,28523,2650,09-JUN-2016,Condominium,99 Yrs From 10/05/2010,2015,Resale,Private,09,23,239197,Central Region,River Valley
WOODSVALE,11 Woodlands Drive 72  #03-35 ,1,126,Strata,815000,-,6468,601,08-JUN-2016,Executive Condominium,99 Yrs From 22/09/1997,2000,Resale,Private,25,73,738094,North Region,Woodlands
THE SPRINGBLOOM,139 Serangoon Avenue 3  #03-01 ,1,135,Strata,1420000,-,10519,977,08-JUN-2016,Condominium,99 Yrs From 01/03/1995,1999,Resale,HDB,19,55,556119,North East Region,Serangoon
THE BROWNSTONE,150 Canberra Drive  #05-02 ,1,105,Strata,927200,-,8830,820,08-JUN-2016,Executive Condominium,99 Yrs From 28/04/2014,Uncompleted,New Sale,HDB,27,76,768079,North Region,Sembawang
BELLEWOODS,114 Woodlands Avenue 5  #10-31 ,1,144,Strata,1180080,-,8195,761,08-JUN-2016,Executive Condominium,99 Yrs From 12/08/2013,Uncompleted,New Sale,Private,25,73,739017,North Region,Woodlands
WATERTOWN,63 Punggol Central  #07-07 ,1,105,Strata,1300000,-,12381,1150,08-JUN-2016,Apartment,99 Yrs From 18/05/2011,Uncompleted,Sub Sale,HDB,19,82,828841,North East Region,Punggol
STURDEE RESIDENCES,10 Beatty Road  #24-04 ,1,39,Strata,730000,-,18718,1739,08-JUN-2016,Condominium,99 Yrs From 29/06/2015,Uncompleted,New Sale,HDB,08,20,209955,Central Region,Kallang
CASA FORTUNA,36 Ah Hood Road  #03-01 ,1,100,Strata,1100000,-,11000,1022,08-JUN-2016,Apartment,Freehold,2011,Resale,HDB,12,32,329980,Central Region,Novena
AALTO,191 Meyer Road  #15-02 ,1,142,Strata,2500000,-,17606,1636,08-JUN-2016,Condominium,Freehold,2010,Resale,Private,15,43,437980,Central Region,Marine Parade
DE PARADISO,20 Martaban Road  #04-03 ,1,115,Strata,1200000,-,10435,969,08-JUN-2016,Apartment,Freehold,2004,Resale,Private,12,32,328644,Central Region,Novena
TERRENE AT BUKIT TIMAH,125 Jalan Jurong Kechil  #04-31 ,1,85,Strata,1250000,-,14706,1366,08-JUN-2016,Condominium,999 Yrs From 19/06/1885,2013,Resale,HDB,21,59,598681,Central Region,Bukit Timah
ESTRIVILLAS,57F Jalan Lim Tai See ,1,482,Strata,3500000,-,7261,675,08-JUN-2016,Semi-Detached House,Freehold,2013,Resale,Private,10,26,266248,Central Region,Bukit Timah
THE MAYFAIR,5 Jurong East Street 32  #08-03 ,1,112,Strata,1010000,-,9018,838,08-JUN-2016,Condominium,99 Yrs From 04/12/1996,2000,Resale,HDB,22,60,609479,West Region,Jurong East
THE SAIL @ MARINA BAY,6 Marina Boulevard  #48-15 ,1,80,Strata,1430000,-,17875,1661,08-JUN-2016,Apartment,99 Yrs From 12/08/2002,2008,Resale,HDB,01,01,018985,Central Region,Downtown Core
BALMORAL CREST,1 Balmoral Crescent  #02-03 ,1,111,Strata,1950000,-,17568,1632,08-JUN-2016,Apartment,Freehold,2002,Resale,Private,10,25,259882,Central Region,Newton
EMERY POINT,18 Ipoh Lane  #13-01 ,1,121,Strata,1500000,-,12397,1152,08-JUN-2016,Apartment,Freehold,2003,Resale,Private,15,43,438622,Central Region,Geylang
N.A.,24 White House Park ,1,1530,Land,18000000,-,11765,1093,08-JUN-2016,Detached House,Freehold,1983,Resale,Private,10,25,257608,Central Region,Tanglin
THE PANORAMA,20 Ang Mo Kio Avenue 2  #05-41 ,1,94,Strata,1219780,-,12976,1206,08-JUN-2016,Condominium,99 Yrs From 08/04/2013,Uncompleted,New Sale,HDB,20,56,567701,North East Region,Ang Mo Kio
RIVERTREES RESIDENCES,25 Fernvale Close  #17-14 ,1,112,Strata,1316680,-,11756,1092,08-JUN-2016,Apartment,99 Yrs From 28/08/2013,Uncompleted,New Sale,HDB,28,79,797462,North East Region,Sengkang
FLAMINGO VALLEY,470 Siglap Road  #01-31 ,1,113,Strata,1488000,-,13168,1223,08-JUN-2016,Condominium,Freehold,2014,Resale,Private,15,45,454943,East Region,Bedok
THE SIXTH AVENUE RESIDENCES,172 Sixth Avenue  #04-30 ,1,126,Strata,2000000,-,15873,1475,08-JUN-2016,Condominium,Freehold,2009,Resale,Private,10,27,276545,Central Region,Bukit Timah
WATERTOWN,75 Punggol Central  #12-75 ,1,113,Strata,1388000,-,12283,1141,08-JUN-2016,Apartment,99 Yrs From 18/05/2011,Uncompleted,Sub Sale,HDB,19,82,828757,North East Region,Punggol
THOMSON VIEW CONDOMINIUM,7 Bright Hill Drive  #18-04 ,1,122,Strata,1140000,-,9344,868,08-JUN-2016,Condominium,99 Yrs From 07/04/1975,1987,Resale,Private,20,57,579599,Central Region,Bishan
N.A.,56 Lorong J Telok Kurau ,1,161,Land,1980000,-,12313,1144,08-JUN-2016,Terrace House,Freehold,1972,Resale,HDB,15,42,425849,East Region,Bedok
THE TERRACE,100 Edgedale Plains  #01-43 ,1,93,Strata,761600,748600,8049,748,08-JUN-2016,Executive Condominium,99 Yrs From 30/10/2013,Uncompleted,New Sale,HDB,19,82,828690,North East Region,Punggol
KINGSFORD . HILLVIEW PEAK,105 Hillview Rise  #04-37 ,1,79,Strata,1100000,-,13924,1294,08-JUN-2016,Condominium,99 Yrs From 04/06/2012,Uncompleted,New Sale,Private,23,66,667968,West Region,Bukit Batok
THE RAINTREE,89 Bukit Drive  #10-19 ,1,120,Strata,1238000,-,10317,958,08-JUN-2016,Condominium,99 Yrs From 01/03/2003,2008,Resale,Private,21,58,587846,West Region,Bukit Panjang
R MAISON,1 Sommerville Walk  #01-06 ,1,64,Strata,870000,-,13594,1263,08-JUN-2016,Apartment,Freehold,2016,New Sale,Private,13,35,357699,North East Region,Serangoon
EIGHT RIVERSUITES,10 Whampoa East  #08-28 ,1,65,Strata,1040000,-,16000,1486,08-JUN-2016,Condominium,99 Yrs From 11/07/2011,2016,Sub Sale,Private,12,33,338521,Central Region,Kallang
THE COTZ,171 Telok Kurau Road  #05-10 ,1,111,Strata,1010000,-,9099,845,08-JUN-2016,Apartment,Freehold,2010,Resale,Private,15,42,423824,East Region,Bedok
THE INTERWEAVE,21 Kim Keat Road  #11-11 ,1,36,Strata,585000,-,16250,1510,08-JUN-2016,Apartment,Freehold,2014,Resale,Private,12,32,328805,Central Region,Novena
VICTORY HEIGHTS,13 Kim Keat Road  #13-01 ,1,103,Strata,910000,-,8835,821,08-JUN-2016,Apartment,Freehold,1997,Resale,HDB,12,32,328842,Central Region,Novena
GRAMERCY PARK,57 Grange Road  #05-01 ,1,251,Strata,6550000,-,26096,2424,08-JUN-2016,Condominium,Freehold,2016,New Sale,Private,10,24,249569,Central Region,Tanglin
THE POIZ RESIDENCES,12 Meyappa Chettiar Road  #09-37 ,1,75,Strata,1147000,-,15293,1421,08-JUN-2016,Apartment,99 Yrs From 17/11/2014,Uncompleted,New Sale,HDB,13,35,358474,Central Region,Toa Payoh
RIVERGATE,99 Robertson Quay  #09-15 ,1,144,Strata,2605000,-,18090,1681,08-JUN-2016,Apartment,Freehold,2009,Resale,HDB,09,23,238258,Central Region,Singapore River
BOTANNIA,27A West Coast Park  #08-05 ,1,146,Strata,1850000,-,12671,1177,08-JUN-2016,Condominium,956 Yrs From 27/05/1928,2009,Resale,Private,05,12,127721,West Region,Clementi
KINGSFORD . HILLVIEW PEAK,105 Hillview Rise  #07-37 ,1,79,Strata,1098000,-,13899,1291,08-JUN-2016,Condominium,99 Yrs From 04/06/2012,Uncompleted,New Sale,HDB,23,66,667968,West Region,Bukit Batok
SKY VUE,3 Bishan Street 15  #02-18 ,1,106,Strata,1480000,-,13962,1297,08-JUN-2016,Condominium,99 Yrs From 04/03/2013,Uncompleted,Sub Sale,Private,20,57,573911,Central Region,Bishan
N.A.,84 Jalan Chengkek ,1,245,Land,3000000,-,12225,1136,08-JUN-2016,Terrace House,Freehold,1956,Resale,HDB,13,36,369307,Central Region,Geylang
GEM RESIDENCES,3 Lorong 5 Toa Payoh  #24-13 ,1,42,Strata,697950,-,16618,1544,08-JUN-2016,Condominium,99 Yrs From 21/09/2015,Uncompleted,New Sale,HDB,12,31,319459,Central Region,Toa Payoh
AMARYLLIS VILLE,22 Newton Road  #09-11 ,1,115,Strata,1798888,-,15643,1453,08-JUN-2016,Condominium,99 Yrs From 24/10/1997,2004,Resale,Private,11,30,307990,Central Region,Novena
THE CAPE,25 Amber Road  #06-03 ,1,53,Strata,1005000,-,18962,1762,08-JUN-2016,Apartment,Freehold,2014,Resale,Private,15,43,439872,Central Region,Marine Parade
NEWTON ONE,1 Newton Road  #17-01 ,1,178,Strata,3250000,-,18258,1696,08-JUN-2016,Condominium,Freehold,2009,Resale,Private,11,30,307943,Central Region,Novena
BOTANIQUE AT BARTLEY,225 Upper Paya Lebar Road  #14-09 ,1,99,Strata,1433000,-,14475,1345,08-JUN-2016,Condominium,99 Yrs From 14/04/2014,Uncompleted,New Sale,HDB,19,53,533873,North East Region,Serangoon
THE FLORIDA,70 Hougang Avenue 7  #08-06 ,1,114,Strata,840000,-,7368,685,08-JUN-2016,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,HDB,19,53,538804,North East Region,Hougang
STURDEE RESIDENCES,10 Beatty Road  #28-04 ,1,39,Strata,747000,-,19154,1779,08-JUN-2016,Condominium,99 Yrs From 29/06/2015,Uncompleted,New Sale,HDB,08,20,209955,Central Region,Kallang
GALLERY FIFTEEN,31 Jalan Dusun  #06-01 ,1,135,Strata,1520000,-,11259,1046,08-JUN-2016,Apartment,Freehold,2003,Resale,Private,12,32,329370,Central Region,Novena
HENRY PARK,91 Grove Drive ,1,459,Land,6800000,-,14802,1375,08-JUN-2016,Terrace House,Freehold,2008,Resale,Private,10,27,279127,Central Region,Bukit Timah
LEEDON RESIDENCE,16 Leedon Heights  #07-21 ,1,247,Strata,6080000,-,24615,2287,08-JUN-2016,Condominium,Freehold,2015,New Sale,N.A,10,26,267937,Central Region,Bukit Timah
N.A.,17 Lengkok Mariam ,1,944,Land,5750000,-,6092,566,08-JUN-2016,Detached House,Freehold,Unknown,Resale,Private,17,50,509120,East Region,Pasir Ris
THE WATERSIDE,11 Tanjong Rhu Road  #06-02 ,1,199,Strata,2670000,-,13417,1246,08-JUN-2016,Condominium,Freehold,1992,Resale,Private,15,43,436896,Central Region,Kallang
HIGHLINE RESIDENCES,11 Kim Tian Road  #08-19 ,1,84,Strata,1518200,-,18074,1679,08-JUN-2016,Condominium,99 Yrs From 22/07/2013,Uncompleted,New Sale,Private,03,16,168594,Central Region,Bukit Merah
SELETAR HILLS ESTATE,139 Jalan Jarak ,1,286,Land,3600000,-,12596,1170,08-JUN-2016,Semi-Detached House,Freehold,Unknown,Resale,Private,28,80,809273,North East Region,Serangoon
N.A.,28 Sommerville Road ,1,511,Land,5250000,-,10272,954,08-JUN-2016,Detached House,Freehold,1988,Resale,Private,13,35,358253,North East Region,Serangoon
