Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
COSTA DEL SOL,70 Bayshore Road  #20-12 ,1,122,Strata,1780000,-,14590,1355,11-JUL-2018,Condominium,99 Yrs From 05/05/1997,2004,Resale,Private,16,46,469987,East Region,Bedok
PARK COLONIAL,6 Woodleigh Lane  #06-17 ,1,43,Strata,836000,-,19442,1806,11-JUL-2018,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357687,Central Region,Toa Payoh
CITY SQUARE RESIDENCES,12 Kitchener Link  #12-26 ,1,80,Strata,1440000,-,18000,1672,11-JUL-2018,Condominium,Freehold,2008,Resale,HDB,08,20,207224,Central Region,Kallang
PALM SPRING,20 Ewe Boon Road  #04-03 ,1,173,Strata,2980000,-,17225,1600,11-JUL-2018,Condominium,Freehold,1997,Resale,Private,10,25,259344,Central Region,Tanglin
PARK COLONIAL,8 Woodleigh Lane  #07-28 ,1,43,Strata,827000,-,19233,1787,11-JUL-2018,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357688,Central Region,Toa Payoh
PARK COLONIAL,12 Woodleigh Lane  #12-52 ,1,59,Strata,1127000,-,19102,1775,11-JUL-2018,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357658,Central Region,Toa Payoh
COCO PALMS,29 Pasir Ris Grove  #10-60 ,1,107,Strata,1350000,-,12617,1172,11-JUL-2018,Condominium,99 Yrs From 07/01/2008,2018,Sub Sale,HDB,18,51,518074,East Region,Pasir Ris
WALLICH RESIDENCE,3 Wallich Street  #53-07 ,1,85,Strata,3382610,-,39795,3697,11-JUL-2018,Apartment,99 Yrs From 21/02/2011,2017,New Sale,Private,02,07,078882,Central Region,Downtown Core
TANAH MERAH GREEN,28 Tanah Merah Kechil Avenue ,1,197,Land,2130000,-,10812,1004,11-JUL-2018,Terrace House,99 Yrs From 17/03/1997,2000,Resale,Private,16,46,465588,East Region,Bedok
PALM HAVEN,18 Palm Grove Avenue  #02-04 ,1,114,Strata,1316888,-,11552,1073,11-JUL-2018,Condominium,999 Yrs From 01/09/1876,2002,Resale,HDB,19,54,547312,North East Region,Hougang
N.A.,162 Meyer Road ,1,276,Land,4830000,-,17532,1629,11-JUL-2018,Semi-Detached House,Freehold,Unknown,Resale,Private,15,43,437950,Central Region,Marine Parade
STIRLING RESIDENCES,21 Stirling Road  #27-01 ,1,41,Strata,887000,-,21634,2010,11-JUL-2018,Apartment,99 Yrs From 18/08/2017,Uncompleted,New Sale,Private,03,14,148960,Central Region,Queenstown
CAIRNHILL PLAZA,53 Cairnhill Road  #15-01 ,1,307,Strata,5750000,-,18730,1740,10-JUL-2018,Apartment,Freehold,1978,Resale,Private,09,22,229664,Central Region,Newton
SEASONS PARK,491 Yio Chu Kang Road  #06-07 ,1,103,Strata,895000,-,8689,807,10-JUL-2018,Condominium,99 Yrs From 01/03/1995,1997,Resale,Private,26,78,787078,North East Region,Ang Mo Kio
BEAVERTON COURT,45 Mount Sinai Rise  #16-01 ,1,300,Strata,4438000,-,14793,1374,10-JUL-2018,Condominium,Freehold,1984,Resale,Private,10,27,276958,Central Region,Bukit Timah
TRIBECA,60 Kim Seng Road  #06-03 ,1,53,Strata,1180000,-,22264,2068,10-JUL-2018,Condominium,Freehold,2010,Resale,Private,09,23,239497,Central Region,Singapore River
N.A.,11 Greenwood Walk ,1,390,Land,6938000,-,17772,1651,10-JUL-2018,Terrace House,Freehold,1991,Resale,Private,11,28,289103,Central Region,Bukit Timah
THE AMSTON,130 Hillview Avenue  #05-02 ,1,122,Strata,1250000,-,10246,952,10-JUL-2018,Apartment,999 Yrs From 12/10/1885,1998,Resale,Private,23,66,669596,West Region,Bukit Batok
N.A.,30 Palm Grove Avenue ,1,300,Land,3050000,-,10160,944,10-JUL-2018,Terrace House,999 Yrs From 02/12/1878,1984,Resale,Private,19,54,547337,North East Region,Hougang
THE CREST,107 Prince Charles Crescent  #04-21 ,1,88,Strata,2128000,-,24182,2247,10-JUL-2018,Condominium,99 Yrs From 21/12/2012,2017,Resale,Private,03,15,159020,Central Region,Bukit Merah
NIN RESIDENCE,85 Pheng Geck Avenue  #17-15 ,1,44,Strata,770000,-,17500,1626,10-JUL-2018,Apartment,99 Yrs From 13/09/2010,2014,Resale,Private,13,34,348271,Central Region,Toa Payoh
CASA CAMBIO,9 Lim Tua Tow Road  #02-06 ,1,46,Strata,728888,-,15845,1472,10-JUL-2018,Condominium,Freehold,2014,Resale,HDB,19,54,547726,North East Region,Serangoon
AMARYLLIS VILLE,22 Newton Road  #29-11 ,1,115,Strata,2150000,-,18696,1737,10-JUL-2018,Condominium,99 Yrs From 24/10/1997,2004,Resale,Private,11,30,307990,Central Region,Novena
SANCTUARY GREEN,183 Tanjong Rhu Road  #11-02 ,1,107,Strata,1380000,-,12897,1198,10-JUL-2018,Condominium,99 Yrs From 17/03/1997,2004,Resale,Private,15,43,436923,Central Region,Kallang
OPTIMA @ TANAH MERAH,80 Tanah Merah Kechil Avenue  #04-07 ,1,47,Strata,660800,-,14060,1306,10-JUL-2018,Condominium,99 Yrs From 09/12/2008,2012,Resale,Private,16,46,465514,East Region,Bedok
WATERTOWN,71 Punggol Central  #06-50 ,1,54,Strata,825000,-,15278,1419,10-JUL-2018,Apartment,99 Yrs From 18/05/2011,2017,Sub Sale,HDB,19,82,828755,North East Region,Punggol
SKYSUITES17,17 Jalan Rajah  #16-04 ,1,34,Strata,635000,-,18676,1735,10-JUL-2018,Apartment,Freehold,2014,Resale,HDB,12,32,329137,Central Region,Novena
THE SPRINGSIDE,163 Springside Avenue ,1,159,Land,3377000,-,21226,1972,10-JUL-2018,Terrace House,Freehold,2016,Resale,HDB,26,78,786026,North Region,Yishun
# 1 LOFT,1 Lorong 24 Geylang  #08-18 ,1,51,Strata,668000,-,13098,1217,10-JUL-2018,Apartment,Freehold,2016,Resale,HDB,14,39,398614,Central Region,Geylang
COASTAL BREEZE RESIDENCES,10 Loyang Besar Close  #04-05 ,1,109,Strata,960000,-,8807,818,10-JUL-2018,Condominium,99 Yrs From 08/04/2008,2012,Resale,Private,17,50,509050,East Region,Pasir Ris
STIRLING RESIDENCES,25 Stirling Road  #25-24 ,1,41,Strata,868000,-,21171,1967,10-JUL-2018,Apartment,99 Yrs From 18/08/2017,Uncompleted,New Sale,N.A,03,14,148962,Central Region,Queenstown
RIVER PLACE,62 Havelock Road  #04-16 ,1,116,Strata,1833000,-,15802,1468,10-JUL-2018,Condominium,99 Yrs From 07/11/1995,1999,Resale,Private,03,16,169659,Central Region,Singapore River
KOVANA,53 Kovan Road  #01-02 ,1,110,Strata,1320000,-,12000,1115,10-JUL-2018,Apartment,Freehold,2007,Resale,Private,19,54,548136,North East Region,Hougang
PARC CENTENNIAL,100 Kampong Java Road  #14-03 ,1,146,Strata,2250000,-,15411,1432,10-JUL-2018,Apartment,Freehold,2011,Resale,HDB,09,22,228867,Central Region,Novena
PARK RESIDENCES KOVAN,831 Upper Serangoon Road  #05-01 ,1,111,Strata,950000,-,8559,795,10-JUL-2018,Apartment,Freehold,2014,Resale,Private,19,53,534679,North East Region,Hougang
OPTIMA @ TANAH MERAH,86 Tanah Merah Kechil Avenue  #06-15 ,1,45,Strata,740000,-,16444,1528,10-JUL-2018,Condominium,99 Yrs From 09/12/2008,2012,Resale,Private,16,46,465517,East Region,Bedok
THE CREST,109 Prince Charles Crescent  #05-25 ,1,95,Strata,2243000,-,23611,2193,10-JUL-2018,Condominium,99 Yrs From 21/12/2012,2017,Resale,Private,03,15,159021,Central Region,Bukit Merah
CHANGI GREEN,712 Upper Changi Road East  #04-12 ,1,113,Strata,1320000,-,11681,1085,10-JUL-2018,Condominium,Freehold,1998,Resale,HDB,16,48,486842,East Region,Tampines
THE ESTIVA,313 Pasir Panjang Road  #02-07 ,1,91,Strata,1280000,-,14066,1307,10-JUL-2018,Apartment,Freehold,2008,Resale,Private,05,11,117482,Central Region,Queenstown
STIRLING RESIDENCES,25 Stirling Road  #26-30 ,1,82,Strata,1531000,-,18671,1735,10-JUL-2018,Apartment,99 Yrs From 18/08/2017,Uncompleted,New Sale,Private,03,14,148962,Central Region,Queenstown
THE LUMOS,9 Leonie Hill  #11-01 ,1,163,Strata,3750000,-,23006,2137,10-JUL-2018,Apartment,Freehold,2011,Resale,Private,09,23,239220,Central Region,River Valley
URBAN SUITES,5 Hullet Road  #05-10 ,1,144,Strata,4100000,-,28472,2645,10-JUL-2018,Condominium,Freehold,2013,Resale,Private,09,22,229161,Central Region,Newton
CONCOURSE SKYLINE,296 Beach Road  #09-08 ,1,101,Strata,1750000,-,17327,1610,10-JUL-2018,Apartment,99 Yrs From 13/03/2008,2014,Resale,Private,07,19,199599,Central Region,Kallang
MARINA ONE RESIDENCES,23 Marina Way  #06-36 ,1,147,Strata,3619000,-,24619,2287,10-JUL-2018,Apartment,99 Yrs From 01/07/2011,2017,New Sale,Private,01,01,018979,Central Region,Downtown Core
CITY REGENCY,18 St. Michael'S Road  #11-04 ,1,48,Strata,685000,-,14271,1326,10-JUL-2018,Apartment,Freehold,2009,Resale,HDB,12,32,327977,Central Region,Kallang
LOFT@HOLLAND,151 Holland Road  #05-08 ,1,91,Strata,1600000,-,17582,1633,10-JUL-2018,Apartment,Freehold,2014,Resale,HDB,10,27,278580,Central Region,Bukit Timah
NINETEEN SHELFORD ROAD,19 Shelford Road  #01-38 ,1,68,Strata,1120000,-,16471,1530,10-JUL-2018,Condominium,Freehold,1997,Resale,HDB,11,28,288408,Central Region,Bukit Timah
MERA GARDENS,50 Almond Crescent ,1,153,Land,1720000,-,11234,1044,10-JUL-2018,Terrace House,99 Yrs From 01/05/1994,1998,Resale,Private,23,67,677804,West Region,Bukit Panjang
SAVANNAH CONDOPARK,33 Simei Rise  #07-06 ,1,95,Strata,870000,-,9158,851,10-JUL-2018,Condominium,99 Yrs From 29/11/2000,2005,Resale,HDB,18,52,528780,East Region,Tampines
STIRLING RESIDENCES,21 Stirling Road  #14-10 ,1,47,Strata,915000,-,19468,1809,10-JUL-2018,Apartment,99 Yrs From 18/08/2017,Uncompleted,New Sale,HDB,03,14,148960,Central Region,Queenstown
PARK COLONIAL,8 Woodleigh Lane  #08-31 ,1,43,Strata,828000,-,19256,1789,10-JUL-2018,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357688,Central Region,Toa Payoh
THE SHAUGHNESSY,200 Miltonia Close ,1,305,Strata,1480000,-,4852,451,10-JUL-2018,Terrace House,99 Yrs From 19/03/2001,2006,Resale,Private,27,76,768286,North Region,Yishun
QUESTA @ DUNMAN,543 Dunman Road  #13-01 ,1,75,Strata,1200000,-,16000,1486,10-JUL-2018,Apartment,Freehold,2013,Resale,Private,15,43,439219,Central Region,Geylang
8@WOODLEIGH,6 Woodleigh Close  #05-13 ,1,37,Strata,630000,-,17027,1582,10-JUL-2018,Condominium,99 Yrs From 22/09/2008,2012,Resale,Private,13,35,357902,Central Region,Toa Payoh
SILVERSEA,50 Marine Parade Road  #08-15 ,1,90,Strata,1725000,-,19167,1781,10-JUL-2018,Condominium,99 Yrs From 20/07/2007,2014,Resale,Private,15,44,449307,Central Region,Marine Parade
NORTHWAVE,109 Woodlands View  #14-20 ,1,104,Strata,969000,-,9317,866,10-JUL-2018,Executive Condominium,99 Yrs From 25/05/2015,Uncompleted,New Sale,HDB,25,73,737712,North Region,Woodlands
NEW FUTURA,18 Leonie Hill Road  #05-05 ,1,102,Strata,4050000,-,39706,3689,10-JUL-2018,Condominium,Freehold,2017,Resale,Private,09,23,239199,Central Region,River Valley
CASABELLA,186 Duchess Avenue ,1,286,Strata,3250000,-,11364,1056,10-JUL-2018,Condominium,Freehold,2005,Resale,Private,10,26,269192,Central Region,Bukit Timah
NORTHOAKS,30 Woodlands Crescent  #14-16 ,1,116,Strata,800000,-,6897,641,10-JUL-2018,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,HDB,25,73,738086,North Region,Woodlands
HILLTOP GROVE,134B Hillview Avenue  #10-01 ,1,138,Strata,1200000,-,8696,808,10-JUL-2018,Condominium,99 Yrs From 12/06/1996,2001,Resale,Private,23,66,669621,West Region,Bukit Batok
CHANGI HEIGHTS,27 Jalan Sinar Bintang ,1,161,Land,2180000,-,13540,1258,10-JUL-2018,Terrace House,Freehold,2002,Resale,HDB,17,50,509247,East Region,Pasir Ris
8@WOODLEIGH,6 Woodleigh Close  #10-13 ,1,37,Strata,650000,-,17568,1632,10-JUL-2018,Condominium,99 Yrs From 22/09/2008,2012,Resale,HDB,13,35,357902,Central Region,Toa Payoh
THE JADE,9 Bukit Batok Central Link  #21-10 ,1,94,Strata,1130000,-,12021,1117,10-JUL-2018,Condominium,99 Yrs From 02/10/2001,2004,Resale,HDB,23,65,658074,West Region,Bukit Batok
ASTRID MEADOWS,52 Coronation Road West  #01-02 ,1,157,Strata,2550000,-,16242,1509,10-JUL-2018,Condominium,Freehold,1990,Resale,Private,10,26,269265,Central Region,Bukit Timah
CORONATION GROVE,138 Coronation Road  #04-04 ,1,116,Strata,1830000,-,15776,1466,10-JUL-2018,Condominium,999 Yrs From 27/12/1875,1985,Resale,Private,10,26,269525,Central Region,Bukit Timah
NV RESIDENCES,91 Pasir Ris Grove  #05-29 ,1,135,Strata,1300000,-,9630,895,10-JUL-2018,Condominium,99 Yrs From 07/01/2008,2013,Resale,HDB,18,51,518190,East Region,Pasir Ris
THE COSMOPOLITAN,200 Kim Seng Road  #10-03 ,1,123,Strata,3180000,-,25854,2402,10-JUL-2018,Condominium,Freehold,2008,Resale,HDB,09,23,239471,Central Region,Singapore River
CASTLE GREEN,483 Yio Chu Kang Road  #01-09 ,1,105,Strata,840000,-,8000,743,10-JUL-2018,Condominium,99 Yrs From 01/12/1993,1997,Resale,HDB,26,78,787057,North East Region,Ang Mo Kio
N.A.,15M Lim Tua Tow Road ,1,199,Land,2600000,-,13078,1215,10-JUL-2018,Terrace House,Freehold,Unknown,Resale,HDB,19,54,547750,North East Region,Serangoon
CARABELLE,53 West Coast Way  #07-06 ,1,120,Strata,1685000,-,14042,1305,10-JUL-2018,Condominium,956 Yrs From 27/05/1928,2009,Resale,HDB,05,12,127016,West Region,Clementi
TREVISTA,21 Lorong 3 Toa Payoh  #01-05 ,1,136,Strata,1620000,-,11912,1107,10-JUL-2018,Condominium,99 Yrs From 15/07/2008,2011,Resale,HDB,12,31,319581,Central Region,Toa Payoh
CASA MEYFORT,79 (ENBLOC) Meyer Road  #11-02/04 ETC ,76,13552,Strata,319880000,-,23604,2193,10-JUL-2018,Condominium,Freehold,1992,Resale,Private,15,43,437906,Central Region,Marine Parade
BIJOU,2 Jalan Mat Jambol  #02-20 ,1,53,Strata,1075156,-,20286,1885,10-JUL-2018,Apartment,Freehold,Uncompleted,New Sale,N.A,05,11,119554,Central Region,Queenstown
CASA CAMBIO,9 Lim Tua Tow Road  #04-01 ,1,67,Strata,1050000,-,15672,1456,10-JUL-2018,Condominium,Freehold,2014,Resale,Private,19,54,547726,North East Region,Serangoon
COCO PALMS,25 Pasir Ris Grove  #05-48 ,1,84,Strata,1225000,-,14583,1355,10-JUL-2018,Condominium,99 Yrs From 07/01/2008,2018,Sub Sale,HDB,18,51,518072,East Region,Pasir Ris
DUO RESIDENCES,1 Fraser Street  #15-16 ,1,49,Strata,1168000,-,23837,2214,10-JUL-2018,Apartment,99 Yrs From 01/07/2011,2017,Sub Sale,Private,07,18,189350,Central Region,Downtown Core
THE EDEN AT TAMPINES,21 Tampines Street 34  #07-06 ,1,116,Strata,980000,-,8448,785,10-JUL-2018,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,HDB,18,52,529232,East Region,Tampines
ESTELLA GARDENS,29 Flora Road  #08-06 ,1,87,Strata,798000,-,9172,852,10-JUL-2018,Condominium,Freehold,1999,Resale,Private,17,50,509742,East Region,Pasir Ris
THE TAPESTRY,51 Tampines Street 86  #04-02 ,1,44,Strata,677320,-,15394,1430,10-JUL-2018,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,HDB,18,52,528539,East Region,Tampines
THE INTERWEAVE,21 Kim Keat Road  #16-10 ,1,36,Strata,610000,-,16944,1574,10-JUL-2018,Apartment,Freehold,2014,Resale,HDB,12,32,328805,Central Region,Novena
J GATEWAY,2 Gateway Drive  #28-04 ,1,63,Strata,1265000,-,20079,1865,09-JUL-2018,Condominium,99 Yrs From 28/08/2012,2016,Resale,Private,22,60,608533,West Region,Jurong East
WILKIE COURT,97 Wilkie Road  #03-03 ,1,97,Strata,1500000,-,15464,1437,09-JUL-2018,Apartment,Freehold,1991,Resale,Private,09,22,228089,Central Region,Rochor
PARK COLONIAL,2 Woodleigh Lane  #09-03 ,1,101,Strata,1915000,-,18960,1761,09-JUL-2018,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357685,Central Region,Toa Payoh
PARK COLONIAL,8 Woodleigh Lane  #02-31 ,1,43,Strata,790000,-,18372,1707,09-JUL-2018,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357688,Central Region,Toa Payoh
RAFFLESIA CONDOMINIUM,31 Bishan Street 21  #05-05 ,1,111,Strata,1300000,-,11712,1088,09-JUL-2018,Condominium,99 Yrs From 18/07/1997,2003,Resale,Private,20,57,579800,Central Region,Bishan
THE ESPARIS,7 Pasir Ris Drive 4  #02-01 ,1,123,Strata,1030000,-,8374,778,09-JUL-2018,Executive Condominium,99 Yrs From 21/01/2002,2005,Resale,Private,18,51,519459,East Region,Pasir Ris
CHELSEA LODGE,300 Tanjong Katong Road  #03-09 ,1,114,Strata,1331000,-,11675,1085,09-JUL-2018,Apartment,Freehold,2000,Resale,Private,15,43,437083,Central Region,Marine Parade
PARC CENTROS,86 Punggol Central  #07-14 ,1,106,Strata,1300000,-,12264,1139,09-JUL-2018,Condominium,99 Yrs From 19/03/2012,2016,Resale,HDB,19,82,828720,North East Region,Punggol
THE ORANGE GROVE,38 Orange Grove Road  #09-02 ,1,200,Strata,4850000,-,24250,2253,09-JUL-2018,Condominium,Freehold,2010,Resale,Private,10,25,258364,Central Region,Tanglin
STRATUM,92 Elias Road  #03-36 ,1,102,Strata,1150000,-,11275,1047,09-JUL-2018,Condominium,99 Yrs From 11/07/2012,2016,Sub Sale,HDB,18,51,519951,East Region,Pasir Ris
EUHABITAT,230 Jalan Eunos  #01-135 ,1,105,Strata,1205640,-,11482,1067,09-JUL-2018,Condominium,99 Yrs From 06/12/2010,2015,Resale,Private,14,41,415867,East Region,Bedok
THE VISION,79 West Coast Crescent  #12-03 ,1,76,Strata,1080000,-,14211,1320,09-JUL-2018,Condominium,99 Yrs From 25/06/2008,2014,Resale,Private,05,12,126793,West Region,Clementi
HEDGES PARK CONDOMINIUM,75 Flora Drive  #02-18 ,1,71,Strata,738000,-,10394,966,09-JUL-2018,Condominium,99 Yrs From 28/07/2010,2015,Resale,Private,17,50,506883,East Region,Pasir Ris
AQUENE,25 Lorong Bandang  #04-04 ,1,70,Strata,910000,-,13000,1208,09-JUL-2018,Apartment,Freehold,2008,Resale,Private,15,42,426341,East Region,Bedok
