Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
MELVILLE PARK,26 Simei Street 1  #11-10 ,1,97,Strata,788000,-,8124,755,11-JUL-2018,Condominium,99 Yrs From 01/09/1992,1996,Resale,HDB,18,52,529947,East Region,Tampines
HEDGES PARK CONDOMINIUM,87 Flora Drive  #03-53 ,1,93,Strata,910000,-,9785,909,11-JUL-2018,Condominium,99 Yrs From 28/07/2010,2015,Resale,HDB,17,50,506889,East Region,Pasir Ris
CENTRAL VIEW,52 Hougang Street 11  #03-08 ,1,117,Strata,1070000,-,9145,850,11-JUL-2018,Condominium,99 Yrs From 20/03/1998,2002,Resale,Private,19,53,538750,North East Region,Hougang
RIVERFRONT RESIDENCES,57 Hougang Avenue 7  #05-85 ,1,48,Strata,687000,-,14313,1330,11-JUL-2018,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,N.A,19,53,533821,North East Region,Hougang
CARABELLE,55 West Coast Way  #04-09 ,1,121,Strata,1680000,-,13884,1290,11-JUL-2018,Condominium,956 Yrs From 27/05/1928,2009,Resale,HDB,05,12,127017,West Region,Clementi
STIRLING RESIDENCES,21 Stirling Road  #05-09 ,1,59,Strata,1197000,-,20288,1885,11-JUL-2018,Apartment,99 Yrs From 18/08/2017,Uncompleted,New Sale,Private,03,14,148960,Central Region,Queenstown
CASABLANCA,29 Rosewood Drive  #16-25 ,1,110,Strata,950000,-,8636,802,11-JUL-2018,Condominium,99 Yrs From 02/10/2001,2005,Resale,HDB,25,73,737921,North Region,Woodlands
MARINA ONE RESIDENCES,21 Marina Way  #24-08 ,1,209,Strata,6713000,-,32120,2984,11-JUL-2018,Apartment,99 Yrs From 01/07/2011,2017,New Sale,Private,01,01,018978,Central Region,Downtown Core
ESTELLA GARDENS,23 Flora Road  #01-07 ,1,138,Strata,1308000,-,9478,881,11-JUL-2018,Condominium,Freehold,1999,Resale,Private,17,50,509739,East Region,Pasir Ris
PARK COLONIAL,8 Woodleigh Lane  #10-35 ,1,85,Strata,1492000,-,17553,1631,11-JUL-2018,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357688,Central Region,Toa Payoh
PARK COLONIAL,10 Woodleigh Lane  #07-45 ,1,59,Strata,1103000,-,18695,1737,11-JUL-2018,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357657,Central Region,Toa Payoh
PARK COLONIAL,6 Woodleigh Lane  #03-17 ,1,43,Strata,827000,-,19233,1787,11-JUL-2018,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357687,Central Region,Toa Payoh
SIMS URBAN OASIS,4 Sims Drive  #04-21 ,1,95,Strata,1532900,-,16136,1499,11-JUL-2018,Condominium,99 Yrs From 29/07/2014,2017,New Sale,Private,14,38,387387,Central Region,Geylang
ORCHARD COURT,27 Oxley Road  #03-05 ,1,135,Strata,2300000,-,17037,1583,11-JUL-2018,Apartment,993 Yrs From 01/01/1973,Unknown,Resale,Private,09,23,238621,Central Region,River Valley
PARK COLONIAL,2 Woodleigh Lane  #09-06 ,1,95,Strata,1718000,-,18084,1680,11-JUL-2018,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357685,Central Region,Toa Payoh
THE CASCADIA,923 Bukit Timah Road  #01-09 ,1,121,Strata,2200000,-,18182,1689,11-JUL-2018,Condominium,Freehold,2010,Resale,HDB,21,58,589639,Central Region,Bukit Timah
ARCHIPELAGO,523 Bedok Reservoir Road  #03-79 ,1,77,Strata,1100000,-,14286,1327,11-JUL-2018,Condominium,99 Yrs From 01/06/2011,2015,Resale,Private,16,47,479278,East Region,Bedok
WATERTOWN,73 Punggol Central  #08-69 ,1,52,Strata,756000,-,14538,1351,11-JUL-2018,Apartment,99 Yrs From 18/05/2011,2017,Sub Sale,HDB,19,82,828756,North East Region,Punggol
BLUE HORIZON,27 West Coast Crescent  #09-24 ,1,108,Strata,1200000,-,11111,1032,11-JUL-2018,Condominium,99 Yrs From 14/08/2000,2005,Resale,Private,05,12,128048,West Region,Clementi
MODENA,39 Simei Street 4  #05-18 ,1,138,Strata,1390000,-,10072,936,11-JUL-2018,Condominium,99 Yrs From 06/12/1997,2001,Resale,HDB,18,52,529871,East Region,Tampines
THE LAKEFRONT RESIDENCES,48 Lakeside Drive  #12-33 ,1,72,Strata,970000,-,13472,1252,11-JUL-2018,Condominium,99 Yrs From 03/08/2010,2014,Resale,HDB,22,64,648305,West Region,Jurong West
RIVERFRONT RESIDENCES,51 Hougang Avenue 7  #08-49 ,1,81,Strata,1165000,-,14383,1336,11-JUL-2018,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,N.A,19,53,533818,North East Region,Hougang
STIRLING RESIDENCES,21 Stirling Road  #22-04 ,1,58,Strata,1140000,-,19655,1826,11-JUL-2018,Apartment,99 Yrs From 18/08/2017,Uncompleted,New Sale,Private,03,14,148960,Central Region,Queenstown
HILLVIEW GREEN,67 Hume Avenue  #02-02 ,1,91,Strata,950000,-,10440,970,11-JUL-2018,Condominium,999 Yrs From 19/05/1883,1998,Resale,HDB,21,59,598744,West Region,Bukit Batok
PRESTIGE HEIGHTS,348 Balestier Road  #12-01 ,1,32,Strata,575000,-,17969,1669,11-JUL-2018,Apartment,Freehold,2011,Resale,HDB,12,32,329778,Central Region,Novena
BIJOU,2 Jalan Mat Jambol  #03-26 ,1,52,Strata,1029865,-,19805,1840,11-JUL-2018,Apartment,Freehold,Uncompleted,New Sale,HDB,05,11,119554,Central Region,Queenstown
COSMO,18 Guillemard Crescent  #09-04 ,1,37,Strata,640000,-,17297,1607,11-JUL-2018,Apartment,Freehold,2010,Resale,HDB,14,39,399914,Central Region,Geylang
RIVERSIDE 48,48 Robertson Quay  #09-09 ,1,64,Strata,1226800,-,19169,1781,11-JUL-2018,Apartment,Freehold,2000,Resale,Private,09,23,238237,Central Region,Singapore River
MARINA ONE RESIDENCES,21 Marina Way  #10-08 ,1,190,Strata,5312800,-,27962,2598,11-JUL-2018,Apartment,99 Yrs From 01/07/2011,2017,New Sale,Private,01,01,018978,Central Region,Downtown Core
PARK NATURA,35 Bukit Batok East Avenue 6  #03-25 ,1,128,Strata,1653888,-,12921,1200,11-JUL-2018,Condominium,Freehold,2011,Resale,Private,23,65,659765,Central Region,Bukit Timah
PALM GARDENS,2D Hong San Walk  #06-12 ,1,112,Strata,855000,-,7634,709,11-JUL-2018,Condominium,99 Yrs From 12/08/1996,2000,Resale,HDB,23,68,689050,West Region,Choa Chu Kang
STIRLING RESIDENCES,21 Stirling Road  #18-03 ,1,71,Strata,1320000,-,18592,1727,11-JUL-2018,Apartment,99 Yrs From 18/08/2017,Uncompleted,New Sale,Private,03,14,148960,Central Region,Queenstown
STIRLING RESIDENCES,25 Stirling Road  #26-24 ,1,41,Strata,873000,-,21293,1978,11-JUL-2018,Apartment,99 Yrs From 18/08/2017,Uncompleted,New Sale,HDB,03,14,148962,Central Region,Queenstown
LEVENUE,55 Lengkong Empat  #04-04 ,1,43,Strata,620000,-,14419,1340,11-JUL-2018,Apartment,Freehold,2014,Resale,Private,14,41,417642,East Region,Bedok
THE SHAUGHNESSY,202 Miltonia Close ,1,305,Strata,1528000,-,5010,465,11-JUL-2018,Terrace House,99 Yrs From 19/03/2001,2006,Resale,Private,27,76,768287,North Region,Yishun
NIM COLLECTION,20 Nim Terrace ,1,156,Land,2908888,-,18647,1732,11-JUL-2018,Terrace House,99 Yrs From 13/10/2016,Uncompleted,New Sale,HDB,28,80,804390,North East Region,Serangoon
FABER CREST,50A Faber Heights  #01-08 ,1,124,Strata,1350000,-,10887,1011,11-JUL-2018,Condominium,99 Yrs From 12/06/1996,2001,Resale,HDB,05,12,129195,West Region,Clementi
N.A.,2E Broadrick Road ,1,531,Land,10600000,-,19951,1853,11-JUL-2018,Detached House,Freehold,2008,Resale,Private,15,43,439515,Central Region,Marine Parade
RIVERFRONT RESIDENCES,57 Hougang Avenue 7  #07-84 ,1,57,Strata,794000,-,13930,1294,11-JUL-2018,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,Private,19,53,533821,North East Region,Hougang
