Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
PARK COLONIAL,2 Woodleigh Lane  #14-02 ,1,116,Strata,2217000,-,19112,1776,05-JUL-2018,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357685,Central Region,Toa Payoh
PARK COLONIAL,10 Woodleigh Lane  #09-45 ,1,59,Strata,1115000,-,18898,1756,05-JUL-2018,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357657,Central Region,Toa Payoh
MARGARET VILLE,20 Margaret Drive  #17-02 ,1,49,Strata,1038600,-,21196,1969,05-JUL-2018,Apartment,99 Yrs From 13/03/2017,Uncompleted,New Sale,HDB,03,14,149312,Central Region,Queenstown
STIRLING RESIDENCES,21 Stirling Road  #02-10 ,1,47,Strata,864000,-,18383,1708,05-JUL-2018,Apartment,99 Yrs From 18/08/2017,Uncompleted,New Sale,Private,03,14,148960,Central Region,Queenstown
RIVERFRONT RESIDENCES,47 Hougang Avenue 7  #09-39 ,1,67,Strata,937000,-,13985,1299,05-JUL-2018,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,N.A,19,53,533816,North East Region,Hougang
MARGARET VILLE,20 Margaret Drive  #16-06 ,1,61,Strata,1192500,-,19549,1816,05-JUL-2018,Apartment,99 Yrs From 13/03/2017,Uncompleted,New Sale,Private,03,14,149312,Central Region,Queenstown
RIVERFRONT RESIDENCES,53 Hougang Avenue 7  #04-68 ,1,57,Strata,804000,-,14105,1310,05-JUL-2018,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,N.A,19,53,533819,North East Region,Hougang
STIRLING RESIDENCES,25 Stirling Road  #04-24 ,1,41,Strata,766000,-,18683,1736,05-JUL-2018,Apartment,99 Yrs From 18/08/2017,Uncompleted,New Sale,HDB,03,14,148962,Central Region,Queenstown
STIRLING RESIDENCES,21 Stirling Road  #03-04 ,1,58,Strata,1061000,-,18293,1699,05-JUL-2018,Apartment,99 Yrs From 18/08/2017,Uncompleted,New Sale,HDB,03,14,148960,Central Region,Queenstown
RIVERFRONT RESIDENCES,41 Hougang Avenue 7  #15-03 ,1,103,Strata,1440000,-,13981,1299,05-JUL-2018,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,HDB,19,53,533813,North East Region,Hougang
RIVERFRONT RESIDENCES,45 Hougang Avenue 7  #11-29 ,1,43,Strata,649000,-,15093,1402,05-JUL-2018,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,N.A,19,53,533815,North East Region,Hougang
PARK COLONIAL,10 Woodleigh Lane  #05-46 ,1,91,Strata,1574000,-,17297,1607,05-JUL-2018,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357657,Central Region,Toa Payoh
PARK COLONIAL,8 Woodleigh Lane  #07-31 ,1,43,Strata,822000,-,19116,1776,05-JUL-2018,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357688,Central Region,Toa Payoh
RIVERFRONT RESIDENCES,57 Hougang Avenue 7  #12-85 ,1,48,Strata,712000,-,14833,1378,05-JUL-2018,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,N.A,19,53,533821,North East Region,Hougang
THE SANTORINI,21 Tampines Street 86  #06-07 ,1,49,Strata,630000,-,12857,1194,05-JUL-2018,Condominium,99 Yrs From 16/10/2013,2017,Sub Sale,HDB,18,52,528592,East Region,Tampines
RIVERFRONT RESIDENCES,51 Hougang Avenue 7  #06-50 ,1,48,Strata,704000,-,14667,1363,05-JUL-2018,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,HDB,19,53,533818,North East Region,Hougang
PARK COLONIAL,4 Woodleigh Lane  #05-10 ,1,91,Strata,1599000,-,17571,1632,05-JUL-2018,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357686,Central Region,Toa Payoh
SERANGOON GARDEN ESTATE,15 Colchester Grove ,1,344,Land,3500000,-,10177,946,05-JUL-2018,Terrace House,999 Yrs From 01/01/1956,Unknown,Resale,Private,19,55,558354,North East Region,Serangoon
PARK COLONIAL,8 Woodleigh Lane  #03-29 ,1,43,Strata,793000,-,18442,1713,05-JUL-2018,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357688,Central Region,Toa Payoh
STIRLING RESIDENCES,21 Stirling Road  #04-01 ,1,41,Strata,773000,-,18854,1752,05-JUL-2018,Apartment,99 Yrs From 18/08/2017,Uncompleted,New Sale,N.A,03,14,148960,Central Region,Queenstown
STIRLING RESIDENCES,21 Stirling Road  #19-02 ,1,98,Strata,1764000,-,18000,1672,05-JUL-2018,Apartment,99 Yrs From 18/08/2017,Uncompleted,New Sale,N.A,03,14,148960,Central Region,Queenstown
MEADOWS @ PEIRCE,626 Upper Thomson Road  #05-42 ,1,240,Strata,2500000,-,10417,968,05-JUL-2018,Condominium,Freehold,2012,Resale,HDB,26,78,787130,North East Region,Ang Mo Kio
RIVERFRONT RESIDENCES,53 Hougang Avenue 7  #02-68 ,1,57,Strata,796000,-,13965,1297,05-JUL-2018,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,Private,19,53,533819,North East Region,Hougang
MARGARET VILLE,20 Margaret Drive  #33-01 ,1,65,Strata,1417200,-,21803,2026,05-JUL-2018,Apartment,99 Yrs From 13/03/2017,Uncompleted,New Sale,Private,03,14,149312,Central Region,Queenstown
RIVERFRONT RESIDENCES,41 Hougang Avenue 7  #10-05 ,1,43,Strata,646000,-,15023,1396,05-JUL-2018,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,Private,19,53,533813,North East Region,Hougang
RIVERFRONT RESIDENCES,51 Hougang Avenue 7  #04-53 ,1,43,Strata,584000,-,13581,1262,05-JUL-2018,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,N.A,19,53,533818,North East Region,Hougang
PARK COLONIAL,10 Woodleigh Lane  #08-43 ,1,99,Strata,1740000,-,17576,1633,05-JUL-2018,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357657,Central Region,Toa Payoh
STIRLING RESIDENCES,21 Stirling Road  #21-11 ,1,63,Strata,1327000,-,21063,1957,05-JUL-2018,Apartment,99 Yrs From 18/08/2017,Uncompleted,New Sale,N.A,03,14,148960,Central Region,Queenstown
STIRLING RESIDENCES,21 Stirling Road  #16-02 ,1,98,Strata,1737000,-,17724,1647,05-JUL-2018,Apartment,99 Yrs From 18/08/2017,Uncompleted,New Sale,N.A,03,14,148960,Central Region,Queenstown
PARK COLONIAL,8 Woodleigh Lane  #04-40 ,1,43,Strata,860000,-,20000,1858,05-JUL-2018,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357688,Central Region,Toa Payoh
PARK COLONIAL,10 Woodleigh Lane  #09-43 ,1,99,Strata,1745000,-,17626,1638,05-JUL-2018,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357657,Central Region,Toa Payoh
RIVERFRONT RESIDENCES,55 Hougang Avenue 7  #11-71 ,1,48,Strata,722000,-,15042,1397,05-JUL-2018,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,N.A,19,53,533820,North East Region,Hougang
PARK COLONIAL,10 Woodleigh Lane  #13-43 ,1,99,Strata,1765000,-,17828,1656,05-JUL-2018,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357657,Central Region,Toa Payoh
RIVERFRONT RESIDENCES,41 Hougang Avenue 7  #16-04 ,1,57,Strata,852000,-,14947,1389,05-JUL-2018,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,HDB,19,53,533813,North East Region,Hougang
PARK COLONIAL,12 Woodleigh Lane  #07-53 ,1,59,Strata,1103000,-,18695,1737,05-JUL-2018,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357658,Central Region,Toa Payoh
STIRLING RESIDENCES,21 Stirling Road  #09-10 ,1,47,Strata,894000,-,19021,1767,05-JUL-2018,Apartment,99 Yrs From 18/08/2017,Uncompleted,New Sale,N.A,03,14,148960,Central Region,Queenstown
PARK COLONIAL,10 Woodleigh Lane  #10-41 ,1,59,Strata,1112000,-,18847,1751,05-JUL-2018,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357657,Central Region,Toa Payoh
MARTIN MODERN,10 Martin Place  #25-13 ,1,79,Strata,2466000,-,31215,2900,05-JUL-2018,Condominium,99 Yrs From 28/09/2016,Uncompleted,New Sale,Private,09,23,237963,Central Region,River Valley
PARK COLONIAL,8 Woodleigh Lane  #05-32 ,1,43,Strata,816000,-,18977,1763,05-JUL-2018,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357688,Central Region,Toa Payoh
EIGHT RIVERSUITES,8 Whampoa East  #13-22 ,1,75,Strata,1200000,-,16000,1486,05-JUL-2018,Condominium,99 Yrs From 11/07/2011,2016,Resale,Private,12,33,338520,Central Region,Kallang
RIVERFRONT RESIDENCES,49 Hougang Avenue 7  #08-43 ,1,43,Strata,613000,-,14256,1324,05-JUL-2018,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,N.A,19,53,533817,North East Region,Hougang
RIVERFRONT RESIDENCES,51 Hougang Avenue 7  #07-53 ,1,43,Strata,593000,-,13791,1281,05-JUL-2018,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,HDB,19,53,533818,North East Region,Hougang
MARGARET VILLE,20 Margaret Drive  #31-02 ,1,49,Strata,1136400,-,23192,2155,05-JUL-2018,Apartment,99 Yrs From 13/03/2017,Uncompleted,New Sale,HDB,03,14,149312,Central Region,Queenstown
RIVERFRONT RESIDENCES,47 Hougang Avenue 7  #06-35 ,1,43,Strata,600000,-,13953,1296,05-JUL-2018,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,N.A,19,53,533816,North East Region,Hougang
PARK COLONIAL,10 Woodleigh Lane  #03-42 ,1,91,Strata,1547000,-,17000,1579,05-JUL-2018,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357657,Central Region,Toa Payoh
STIRLING RESIDENCES,25 Stirling Road  #05-31 ,1,83,Strata,1492000,-,17976,1670,05-JUL-2018,Apartment,99 Yrs From 18/08/2017,Uncompleted,New Sale,Private,03,14,148962,Central Region,Queenstown
STIRLING RESIDENCES,21 Stirling Road  #18-10 ,1,47,Strata,938000,-,19957,1854,05-JUL-2018,Apartment,99 Yrs From 18/08/2017,Uncompleted,New Sale,N.A,03,14,148960,Central Region,Queenstown
PARK COLONIAL,10 Woodleigh Lane  #13-41 ,1,59,Strata,1124000,-,19051,1770,05-JUL-2018,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357657,Central Region,Toa Payoh
PARK COLONIAL,4 Woodleigh Lane  #07-16 ,1,56,Strata,1067000,-,19054,1770,05-JUL-2018,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357686,Central Region,Toa Payoh
PARK COLONIAL,6 Woodleigh Lane  #05-24 ,1,43,Strata,828000,-,19256,1789,05-JUL-2018,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357687,Central Region,Toa Payoh
RIVERFRONT RESIDENCES,47 Hougang Avenue 7  #07-36 ,1,43,Strata,603000,-,14023,1303,05-JUL-2018,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,HDB,19,53,533816,North East Region,Hougang
PARK COLONIAL,2 Woodleigh Lane  #10-04 ,1,63,Strata,1219000,-,19349,1798,05-JUL-2018,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357685,Central Region,Toa Payoh
PARK COLONIAL,8 Woodleigh Lane  #05-27 ,1,58,Strata,1064000,-,18345,1704,05-JUL-2018,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357688,Central Region,Toa Payoh
STIRLING RESIDENCES,21 Stirling Road  #12-02 ,1,98,Strata,1711000,-,17459,1622,05-JUL-2018,Apartment,99 Yrs From 18/08/2017,Uncompleted,New Sale,HDB,03,14,148960,Central Region,Queenstown
CLEMENTI PARK,137 Sunset Way  #01-15 ,1,220,Strata,2625000,-,11932,1108,05-JUL-2018,Condominium,Freehold,1986,Resale,Private,21,59,597159,West Region,Clementi
PARK COLONIAL,10 Woodleigh Lane  #07-41 ,1,59,Strata,1096000,-,18576,1726,05-JUL-2018,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357657,Central Region,Toa Payoh
RIVERFRONT RESIDENCES,51 Hougang Avenue 7  #14-61 ,1,57,Strata,838000,-,14702,1366,05-JUL-2018,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,HDB,19,53,533818,North East Region,Hougang
RIVERFRONT RESIDENCES,51 Hougang Avenue 7  #07-50 ,1,48,Strata,707000,-,14729,1368,05-JUL-2018,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,HDB,19,53,533818,North East Region,Hougang
RIVERFRONT RESIDENCES,45 Hougang Avenue 7  #08-30 ,1,57,Strata,820000,-,14386,1336,05-JUL-2018,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,HDB,19,53,533815,North East Region,Hougang
RIVERFRONT RESIDENCES,45 Hougang Avenue 7  #09-30 ,1,57,Strata,820000,-,14386,1336,05-JUL-2018,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,N.A,19,53,533815,North East Region,Hougang
RIVERFRONT RESIDENCES,41 Hougang Avenue 7  #14-10 ,1,43,Strata,626000,-,14558,1352,05-JUL-2018,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,HDB,19,53,533813,North East Region,Hougang
PARK COLONIAL,2 Woodleigh Lane  #11-02 ,1,116,Strata,2199000,-,18957,1761,05-JUL-2018,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357685,Central Region,Toa Payoh
PARK COLONIAL,6 Woodleigh Lane  #02-18 ,1,53,Strata,978000,-,18453,1714,05-JUL-2018,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357687,Central Region,Toa Payoh
RIVERFRONT RESIDENCES,41 Hougang Avenue 7  #02-05 ,1,43,Strata,622000,-,14465,1344,05-JUL-2018,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,HDB,19,53,533813,North East Region,Hougang
STIRLING RESIDENCES,21 Stirling Road  #04-11 ,1,63,Strata,1242000,-,19714,1832,05-JUL-2018,Apartment,99 Yrs From 18/08/2017,Uncompleted,New Sale,Private,03,14,148960,Central Region,Queenstown
RIVERFRONT RESIDENCES,51 Hougang Avenue 7  #11-53 ,1,43,Strata,605000,-,14070,1307,05-JUL-2018,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,Private,19,53,533818,North East Region,Hougang
STIRLING RESIDENCES,21 Stirling Road  #18-09 ,1,59,Strata,1259000,-,21339,1982,05-JUL-2018,Apartment,99 Yrs From 18/08/2017,Uncompleted,New Sale,Private,03,14,148960,Central Region,Queenstown
RIVERFRONT RESIDENCES,51 Hougang Avenue 7  #09-49 ,1,81,Strata,1165000,-,14383,1336,05-JUL-2018,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,HDB,19,53,533818,North East Region,Hougang
RIVERFRONT RESIDENCES,47 Hougang Avenue 7  #08-33 ,1,56,Strata,799000,-,14268,1326,05-JUL-2018,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,HDB,19,53,533816,North East Region,Hougang
MARGARET VILLE,20 Margaret Drive  #12-07 ,1,90,Strata,1737700,-,19308,1794,05-JUL-2018,Apartment,99 Yrs From 13/03/2017,Uncompleted,New Sale,Private,03,14,149312,Central Region,Queenstown
PARK COLONIAL,2 Woodleigh Lane  #09-05 ,1,63,Strata,1184000,-,18794,1746,05-JUL-2018,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357685,Central Region,Toa Payoh
PARK COLONIAL,8 Woodleigh Lane  #01-26 ,1,58,Strata,1090000,-,18793,1746,05-JUL-2018,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357688,Central Region,Toa Payoh
PARK COLONIAL,6 Woodleigh Lane  #05-18 ,1,53,Strata,1000000,-,18868,1753,05-JUL-2018,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357687,Central Region,Toa Payoh
RIVERFRONT RESIDENCES,41 Hougang Avenue 7  #08-01 ,1,57,Strata,814000,-,14281,1327,05-JUL-2018,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,Private,19,53,533813,North East Region,Hougang
PARK COLONIAL,8 Woodleigh Lane  #02-30 ,1,43,Strata,790000,-,18372,1707,05-JUL-2018,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357688,Central Region,Toa Payoh
RIVERFRONT RESIDENCES,45 Hougang Avenue 7  #03-30 ,1,57,Strata,796000,-,13965,1297,05-JUL-2018,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,HDB,19,53,533815,North East Region,Hougang
STIRLING RESIDENCES,21 Stirling Road  #23-01 ,1,41,Strata,865000,-,21098,1960,05-JUL-2018,Apartment,99 Yrs From 18/08/2017,Uncompleted,New Sale,HDB,03,14,148960,Central Region,Queenstown
RIVERFRONT RESIDENCES,51 Hougang Avenue 7  #09-54 ,1,43,Strata,599000,-,13930,1294,05-JUL-2018,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,N.A,19,53,533818,North East Region,Hougang
PARK COLONIAL,12 Woodleigh Lane  #08-53 ,1,59,Strata,1107000,-,18763,1743,05-JUL-2018,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357658,Central Region,Toa Payoh
RIVERFRONT RESIDENCES,41 Hougang Avenue 7  #01-10 ,1,43,Strata,587000,-,13651,1268,05-JUL-2018,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,HDB,19,53,533813,North East Region,Hougang
RIVERFRONT RESIDENCES,53 Hougang Avenue 7  #07-68 ,1,57,Strata,816000,-,14316,1330,05-JUL-2018,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,N.A,19,53,533819,North East Region,Hougang
RIVERFRONT RESIDENCES,41 Hougang Avenue 7  #02-04 ,1,48,Strata,633000,-,13188,1225,05-JUL-2018,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,HDB,19,53,533813,North East Region,Hougang
RIVERFRONT RESIDENCES,53 Hougang Avenue 7  #05-68 ,1,57,Strata,808000,-,14175,1317,05-JUL-2018,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,HDB,19,53,533819,North East Region,Hougang
RIVERFRONT RESIDENCES,45 Hougang Avenue 7  #04-24 ,1,43,Strata,606000,-,14093,1309,05-JUL-2018,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,HDB,19,53,533815,North East Region,Hougang
