Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
RIVERFRONT RESIDENCES,41 Hougang Avenue 7  #16-03 ,1,103,Strata,1446000,-,14039,1304,05-JUL-2018,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,N.A,19,53,533813,North East Region,Hougang
PARK COLONIAL,10 Woodleigh Lane  #02-48 ,1,56,Strata,1134000,-,20250,1881,05-JUL-2018,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357657,Central Region,Toa Payoh
PARK COLONIAL,8 Woodleigh Lane  #02-40 ,1,43,Strata,854000,-,19860,1845,05-JUL-2018,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357688,Central Region,Toa Payoh
PARK COLONIAL,8 Woodleigh Lane  #11-40 ,1,43,Strata,884000,-,20558,1910,05-JUL-2018,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357688,Central Region,Toa Payoh
BISHAN 8,63 Bishan Street 21  #01-09 ,1,142,Strata,1720000,-,12113,1125,05-JUL-2018,Condominium,99 Yrs From 09/10/1996,2000,Resale,Private,20,57,574045,Central Region,Bishan
RIVERFRONT RESIDENCES,53 Hougang Avenue 7  #06-68 ,1,57,Strata,812000,-,14246,1323,05-JUL-2018,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,N.A,19,53,533819,North East Region,Hougang
STIRLING RESIDENCES,21 Stirling Road  #20-08 ,1,125,Strata,2223000,-,17784,1652,05-JUL-2018,Apartment,99 Yrs From 18/08/2017,Uncompleted,New Sale,Private,03,14,148960,Central Region,Queenstown
RIVERFRONT RESIDENCES,53 Hougang Avenue 7  #06-69 ,1,57,Strata,812000,-,14246,1323,05-JUL-2018,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,HDB,19,53,533819,North East Region,Hougang
RIVERFRONT RESIDENCES,45 Hougang Avenue 7  #01-30 ,1,48,Strata,655000,-,13646,1268,05-JUL-2018,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,N.A,19,53,533815,North East Region,Hougang
STIRLING RESIDENCES,21 Stirling Road  #21-02 ,1,98,Strata,1779000,-,18153,1686,05-JUL-2018,Apartment,99 Yrs From 18/08/2017,Uncompleted,New Sale,HDB,03,14,148960,Central Region,Queenstown
RIVERFRONT RESIDENCES,55 Hougang Avenue 7  #02-71 ,1,48,Strata,695000,-,14479,1345,05-JUL-2018,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,Private,19,53,533820,North East Region,Hougang
RIVERFRONT RESIDENCES,55 Hougang Avenue 7  #16-77 ,1,156,Strata,2150000,-,13782,1280,05-JUL-2018,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,HDB,19,53,533820,North East Region,Hougang
EUPHONY GARDENS,11 Jalan Mata Ayer  #01-65 ,1,95,Strata,725000,-,7632,709,05-JUL-2018,Condominium,99 Yrs From 25/02/1998,2001,Resale,HDB,27,75,759154,North Region,Mandai
PARK COLONIAL,10 Woodleigh Lane  #14-46 ,1,111,Strata,1739000,-,15667,1455,05-JUL-2018,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357657,Central Region,Toa Payoh
RIVERFRONT RESIDENCES,57 Hougang Avenue 7  #11-83 ,1,138,Strata,1920000,-,13913,1293,05-JUL-2018,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,HDB,19,53,533821,North East Region,Hougang
PARK COLONIAL,8 Woodleigh Lane  #06-40 ,1,43,Strata,866000,-,20140,1871,05-JUL-2018,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357688,Central Region,Toa Payoh
PARC BOTANNIA,10 Fernvale Street  #19-05 ,1,62,Strata,968000,-,15613,1450,05-JUL-2018,Condominium,99 Yrs From 28/12/2016,Uncompleted,New Sale,N.A,28,79,797390,North East Region,Sengkang
RIVERFRONT RESIDENCES,43 Hougang Avenue 7  #01-20 ,1,57,Strata,780000,-,13684,1271,05-JUL-2018,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,Private,19,53,533814,North East Region,Hougang
RIVERFRONT RESIDENCES,45 Hougang Avenue 7  #12-30 ,1,57,Strata,832000,-,14596,1356,05-JUL-2018,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,HDB,19,53,533815,North East Region,Hougang
STIRLING RESIDENCES,21 Stirling Road  #10-10 ,1,47,Strata,898000,-,19106,1775,05-JUL-2018,Apartment,99 Yrs From 18/08/2017,Uncompleted,New Sale,N.A,03,14,148960,Central Region,Queenstown
RIVERFRONT RESIDENCES,47 Hougang Avenue 7  #08-41 ,1,43,Strata,643000,-,14953,1389,05-JUL-2018,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,Private,19,53,533816,North East Region,Hougang
RIVERFRONT RESIDENCES,51 Hougang Avenue 7  #05-51 ,1,99,Strata,1309000,-,13222,1228,05-JUL-2018,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,Private,19,53,533818,North East Region,Hougang
RIVERFRONT RESIDENCES,55 Hougang Avenue 7  #12-78 ,1,57,Strata,836000,-,14667,1363,05-JUL-2018,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,Private,19,53,533820,North East Region,Hougang
RIVERFRONT RESIDENCES,45 Hougang Avenue 7  #07-24 ,1,43,Strata,615000,-,14302,1329,05-JUL-2018,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,Private,19,53,533815,North East Region,Hougang
PARK COLONIAL,2 Woodleigh Lane  #01-03 ,1,101,Strata,1862000,-,18436,1713,05-JUL-2018,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357685,Central Region,Toa Payoh
PARK COLONIAL,8 Woodleigh Lane  #09-28 ,1,43,Strata,836000,-,19442,1806,05-JUL-2018,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357688,Central Region,Toa Payoh
RIVERFRONT RESIDENCES,57 Hougang Avenue 7  #11-80 ,1,67,Strata,935000,-,13955,1296,05-JUL-2018,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,HDB,19,53,533821,North East Region,Hougang
STIRLING RESIDENCES,25 Stirling Road  #06-23 ,1,63,Strata,1240000,-,19683,1829,05-JUL-2018,Apartment,99 Yrs From 18/08/2017,Uncompleted,New Sale,Private,03,14,148962,Central Region,Queenstown
RIVERFRONT RESIDENCES,57 Hougang Avenue 7  #09-82 ,1,138,Strata,1920000,-,13913,1293,05-JUL-2018,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,HDB,19,53,533821,North East Region,Hougang
RIVERFRONT RESIDENCES,55 Hougang Avenue 7  #13-78 ,1,57,Strata,840000,-,14737,1369,05-JUL-2018,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,N.A,19,53,533820,North East Region,Hougang
STIRLING RESIDENCES,21 Stirling Road  #10-01 ,1,41,Strata,799000,-,19488,1810,05-JUL-2018,Apartment,99 Yrs From 18/08/2017,Uncompleted,New Sale,N.A,03,14,148960,Central Region,Queenstown
RIVERFRONT RESIDENCES,55 Hougang Avenue 7  #04-71 ,1,48,Strata,701000,-,14604,1357,05-JUL-2018,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,HDB,19,53,533820,North East Region,Hougang
AFFINITY AT SERANGOON,28 Serangoon North Avenue 1  #11-58 ,1,100,Strata,1665400,-,16654,1547,05-JUL-2018,Apartment,99 Yrs From 18/05/2018,Uncompleted,New Sale,HDB,19,55,554341,North East Region,Serangoon
RIVERFRONT RESIDENCES,57 Hougang Avenue 7  #17-79 ,1,120,Strata,1503000,-,12525,1164,05-JUL-2018,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,Private,19,53,533821,North East Region,Hougang
PARK COLONIAL,2 Woodleigh Lane  #07-04 ,1,63,Strata,1203000,-,19095,1774,05-JUL-2018,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357685,Central Region,Toa Payoh
RIVERFRONT RESIDENCES,51 Hougang Avenue 7  #09-51 ,1,99,Strata,1333000,-,13465,1251,05-JUL-2018,Apartment,99 Yrs From 31/05/2018,Uncompleted,New Sale,HDB,19,53,533818,North East Region,Hougang
