Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
AURA 83,83 Duku Road  #03-07 ,1,104,Strata,1310000,-,12596,1170,22-JAN-2020,Apartment,Freehold,2015,Resale,N.A,15,42,429247,Central Region,Marine Parade
CENTRA HEIGHTS,455 Sims Avenue  #06-02 ,1,40,Strata,644888,-,16122,1498,22-JAN-2020,Apartment,Freehold,2014,Resale,HDB,14,38,387607,Central Region,Geylang
POETS VILLAS,212 Tagore Avenue ,1,330,Strata,1980000,-,6000,557,22-JAN-2020,Semi-Detached House,99 Yrs From 01/04/2010,2014,Resale,N.A,26,78,786223,North East Region,Ang Mo Kio
THE INFLORA,55 Flora Drive  #06-16 ,1,43,Strata,515000,-,11977,1113,22-JAN-2020,Condominium,99 Yrs From 25/05/2012,2016,Resale,N.A,17,50,506864,East Region,Pasir Ris
LEEDON GREEN,32 Leedon Heights  #09-30 ,1,76,Strata,2285400,-,30071,2794,22-JAN-2020,Condominium,Freehold,Uncompleted,New Sale,N.A,10,26,266075,Central Region,Bukit Timah
MIDTOWN BAY,122 Beach Road  #14-04 ,1,42,Strata,1370200,1334200,31767,2951,22-JAN-2020,Apartment,99 Yrs From 02/01/2018,Uncompleted,New Sale,N.A,07,18,189770,Central Region,Downtown Core
SEVENTY SAINT PATRICK'S,76 St. Patrick'S Road  #05-14 ,1,119,Strata,2180000,-,18319,1702,22-JAN-2020,Condominium,Freehold,2016,Resale,HDB,15,42,424179,East Region,Bedok
PARC ESTA,908 Sims Avenue  #14-42 ,1,114,Strata,2078000,-,18228,1693,22-JAN-2020,Apartment,99 Yrs From 12/07/2018 ,Uncompleted,New Sale,N.A,14,40,408970,Central Region,Geylang
THE PETALS,95 Hillview Avenue  #02-27 ,1,117,Strata,1200000,-,10256,953,22-JAN-2020,Condominium,Freehold,2002,Resale,N.A,23,66,669627,West Region,Bukit Batok
RIVERGATE,93 Robertson Quay  #21-02 ,1,160,Strata,3850000,-,24063,2235,22-JAN-2020,Apartment,Freehold,2009,Resale,N.A,09,23,238255,Central Region,Singapore River
PARKSUITES,26 Holland Grove Road  #04-32 ,1,132,Strata,2850000,-,21591,2006,22-JAN-2020,Apartment,110 Yrs From 01/11/2017,Uncompleted,New Sale,N.A,10,27,278804,Central Region,Bukit Timah
THE AVENIR,10 River Valley Close  #36-11 ,1,224,Strata,8426000,-,37616,3495,22-JAN-2020,Condominium,Freehold,Uncompleted,New Sale,N.A,09,23,238438,Central Region,River Valley
TREASURE AT TAMPINES,41 Tampines Lane  #06-137 ,1,55,Strata,832112,-,15129,1406,22-JAN-2020,Condominium,99 Yrs From 29/11/2018,Uncompleted,New Sale,N.A,18,52,528465,East Region,Tampines
TREASURE AT TAMPINES,11 Tampines Lane  #11-41 ,1,63,Strata,954112,-,15145,1407,22-JAN-2020,Condominium,99 Yrs From 29/11/2018,Uncompleted,New Sale,N.A,18,52,528480,East Region,Tampines
REZI 24,39 Lorong 24 Geylang  #03-18 ,1,43,Strata,780800,-,18158,1687,22-JAN-2020,Apartment,Freehold,Uncompleted,New Sale,N.A,14,39,398636,Central Region,Geylang
SKY VUE,3 Bishan Street 15  #26-15 ,1,63,Strata,1250000,-,19841,1843,22-JAN-2020,Condominium,99 Yrs From 04/03/2013,2016,Resale,HDB,20,57,573911,Central Region,Bishan
EUPHONY GARDENS,7 Jalan Mata Ayer  #02-31 ,1,113,Strata,800000,-,7080,658,22-JAN-2020,Condominium,99 Yrs From 25/02/1998,2001,Resale,HDB,27,75,759152,North Region,Mandai
WATERBANK AT DAKOTA,78 Dakota Crescent  #10-16 ,1,58,Strata,1080000,-,18621,1730,22-JAN-2020,Condominium,99 Yrs From 07/12/2009,2013,Resale,N.A,14,39,399945,Central Region,Geylang
OASIS @ ELIAS,60 Elias Road  #04-02 ,1,116,Strata,1015000,-,8750,813,22-JAN-2020,Condominium,99 Yrs From 17/03/2008,2011,Resale,N.A,18,51,519938,East Region,Pasir Ris
THE CALROSE,513 Yio Chu Kang Road  #02-34 ,1,115,Strata,1710000,-,14870,1381,22-JAN-2020,Condominium,Freehold,2007,Resale,HDB,26,78,787067,North East Region,Ang Mo Kio
NEU AT NOVENA,27 Moulmein Rise  #03-01 ,1,76,Strata,2143000,-,28197,2620,22-JAN-2020,Apartment,Freehold,Uncompleted,New Sale,N.A,11,30,308140,Central Region,Novena
THE STELLAR,10 West Coast Road  #01-10 ,1,158,Strata,1836000,-,11620,1080,22-JAN-2020,Condominium,Freehold,2008,Resale,HDB,05,12,126822,West Region,Clementi
THE DEW,32 Bukit Batok Street 21  #10-10 ,1,129,Strata,1160000,-,8992,835,22-JAN-2020,Executive Condominium,99 Yrs From 13/12/2000,2003,Resale,N.A,23,65,659637,West Region,Bukit Batok
VIZ AT HOLLAND,221 Queensway  #11-02 ,1,80,Strata,1450000,-,18125,1684,22-JAN-2020,Condominium,Freehold,2008,Resale,HDB,10,27,276750,Central Region,Bukit Timah
YONG AN PARK,331 River Valley Road  #12-06 ,1,95,Strata,2430000,-,25579,2376,22-JAN-2020,Condominium,Freehold,1986,Resale,N.A,09,23,238363,Central Region,River Valley
J COURT,10B Lorong J Telok Kurau ,1,110,Strata,1050000,-,9545,887,22-JAN-2020,Apartment,Freehold,1989,Resale,N.A,15,42,425796,East Region,Bedok
PRESTIGE RESIDENCE,52 Lorong G Telok Kurau  #04-03 ,1,60,Strata,758000,-,12633,1174,22-JAN-2020,Apartment,Freehold,2008,Resale,N.A,15,42,426235,East Region,Bedok
GRANDEUR 8,14 Ang Mo Kio Central 3  #03-24 ,1,135,Strata,1613000,-,11948,1110,22-JAN-2020,Condominium,99 Yrs From 16/07/2002,2005,Resale,N.A,20,56,567747,North East Region,Ang Mo Kio
SEASONS VIEW,7 Pemimpin Drive  #17-01 ,1,106,Strata,1309000,-,12349,1147,22-JAN-2020,Condominium,99 Yrs From 06/09/1996,2000,Resale,N.A,20,57,576150,Central Region,Bishan
THE COUNTRYSIDE,95 Countryside Road ,1,170,Land,2638000,-,15563,1446,22-JAN-2020,Terrace House,Freehold,1996,Resale,HDB,26,78,789833,North East Region,Ang Mo Kio
THE ODEON KATONG,11 East Coast Road  #09-03 ,1,54,Strata,780000,-,14444,1342,22-JAN-2020,Apartment,Freehold,1983,Resale,HDB,15,42,428722,Central Region,Marine Parade
WHISTLER GRAND,109 West Coast Vale  #20-18 ,1,118,Strata,1721180,-,14586,1355,22-JAN-2020,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,N.A,05,12,126752,West Region,Clementi
THE IMPERIAL,5 Jalan Rumbia  #13-06 ,1,328,Strata,6200000,-,18902,1756,22-JAN-2020,Condominium,Freehold,2006,Resale,N.A,09,23,239618,Central Region,Museum
THE SAIL @ MARINA BAY,6 Marina Boulevard  #45-17 ,1,63,Strata,1300000,-,20635,1917,22-JAN-2020,Apartment,99 Yrs From 12/08/2002,2008,Resale,N.A,01,01,018985,Central Region,Downtown Core
LUMIERE,2 Mistri Road  #29-03 ,1,63,Strata,1220000,-,19365,1799,22-JAN-2020,Apartment,99 Yrs From 21/03/2006,2010,Resale,N.A,02,07,079624,Central Region,Downtown Core
MARINA ONE RESIDENCES,23 Marina Way  #06-23ETC ,2,139,Strata,3338220,-,24016,2231,22-JAN-2020,Apartment,99 Yrs From 01/07/2011,Unknown,Resale,N.A,01,01,018979,Central Region,Downtown Core
TREASURE AT TAMPINES,27 Tampines Lane  #08-91 ,1,43,Strata,685112,-,15933,1480,22-JAN-2020,Condominium,99 Yrs From 29/11/2018,Uncompleted,New Sale,N.A,18,52,528472,East Region,Tampines
TREASURE AT TAMPINES,3 Tampines Lane  #07-12 ,1,54,Strata,798112,-,14780,1373,22-JAN-2020,Condominium,99 Yrs From 29/11/2018,Uncompleted,New Sale,N.A,18,52,528483,East Region,Tampines
PARC ESTA,902 Sims Avenue  #15-16 ,1,49,Strata,991000,-,20224,1879,22-JAN-2020,Apartment,99 Yrs From 12/07/2018 ,Uncompleted,New Sale,N.A,14,40,408967,Central Region,Geylang
